time,open,high,low,close,volume,ticker
2023-01-03,8000,8300,7700,8200,68100,VBB
2023-01-04,8100,9300,8100,9200,168900,VBB
2023-01-05,8700,10200,8700,10000,89600,VBB
2023-01-06,10800,11300,10000,10100,83000,VBB
2023-01-09,10500,12500,10400,12000,143300,VBB
2023-01-10,12000,12500,11000,11400,44200,VBB
2023-01-11,11500,11500,10700,10900,13400,VBB
2023-01-12,11500,11800,10500,10600,22200,VBB
2023-01-13,10000,11000,10000,10200,12800,VBB
2023-01-16,10300,10300,10300,10300,2300,VBB
2023-01-17,11800,11800,10400,10500,18600,VBB
2023-01-18,10700,11200,10700,10700,2900,VBB
2023-01-19,11000,11000,10500,10500,17100,VBB
2023-01-27,10500,10700,10200,10500,7500,VBB
2023-01-30,10500,10700,10200,10400,5300,VBB
2023-01-31,10400,10600,10000,10600,4200,VBB
2023-02-01,10200,10700,10200,10500,27400,VBB
2023-02-02,10200,10700,10200,10300,3600,VBB
2023-02-03,10600,10600,10000,10000,5600,VBB
2023-02-06,10500,10500,10200,10300,1000,VBB
2023-02-07,10500,10500,10000,10000,2500,VBB
2023-02-08,10100,10400,9800,9800,11300,VBB
2023-02-09,10400,10400,10200,10200,400,VBB
2023-02-10,9100,10200,9100,10000,1600,VBB
2023-02-13,10000,10000,9700,10000,16500,VBB
2023-02-14,9900,9900,9800,9800,500,VBB
2023-02-15,9900,10500,9900,10500,43600,VBB
2023-02-16,10500,11100,9600,11000,39300,VBB
2023-02-17,10500,10500,10400,10400,4600,VBB
2023-02-20,10400,10400,10100,10200,400,VBB
2023-02-21,10400,10400,10200,10200,5500,VBB
2023-02-22,10700,10700,10300,10300,500,VBB
2023-02-23,10500,11400,10500,11400,49000,VBB
2023-02-24,11300,11300,10600,11200,19100,VBB
2023-02-27,11800,11800,10800,11300,13800,VBB
2023-02-28,11200,12300,10100,12300,56200,VBB
2023-03-01,11300,11700,10400,11700,29600,VBB
2023-03-02,12300,12300,10400,10500,15700,VBB
2023-03-03,10500,10800,10200,10800,2300,VBB
2023-03-06,10400,11200,10300,10300,9100,VBB
2023-03-07,10300,11000,10300,10400,11600,VBB
2023-03-08,10900,10900,10900,10900,2100,VBB
2023-03-09,10300,11000,10300,10800,5500,VBB
2023-03-10,10900,10900,10500,10900,9200,VBB
2023-03-13,10800,10800,10700,10700,200,VBB
2023-03-14,10800,10800,10200,10200,16000,VBB
2023-03-15,10700,10700,10700,10700,1000,VBB
2023-03-16,10700,10700,10600,10600,700,VBB
2023-03-17,10600,10600,10500,10500,1300,VBB
2023-03-20,10200,10800,10200,10600,6100,VBB
2023-03-21,10400,10400,10300,10300,1500,VBB
2023-03-22,10600,10600,10600,10600,100,VBB
2023-03-23,10300,10300,10300,10300,100,VBB
2023-03-24,10600,10600,10600,10600,100,VBB
2023-03-27,10600,10600,10600,10600,100,VBB
2023-03-28,10600,10600,10600,10600,100,VBB
2023-03-29,10200,10200,10200,10200,400,VBB
2023-03-30,10200,10200,10200,10200,300,VBB
2023-03-31,10600,10600,10600,10600,100,VBB
2023-04-03,10700,10700,10500,10500,1000,VBB
2023-04-04,10500,10500,10500,10500,300,VBB
2023-04-05,10500,10500,10500,10500,100,VBB
2023-04-06,10500,10500,10500,10500,900,VBB
2023-04-07,10600,10600,10400,10500,1400,VBB
2023-04-07,10600,10600,10600,10600,300,VBB
2023-04-10,10800,10800,10500,10500,13200,VBB
2023-04-11,10600,10600,10300,10500,7700,VBB
2023-04-12,10500,10500,10500,10500,3700,VBB
2023-04-13,10600,10600,10500,10600,6500,VBB
2023-04-14,10600,10600,10500,10500,5800,VBB
2023-04-17,10400,10400,10400,10400,100,VBB
2023-04-18,10600,10600,10600,10600,500,VBB
2023-04-19,10500,10500,10500,10500,3200,VBB
2023-04-20,10300,10300,10300,10300,3000,VBB
2023-04-21,10300,10300,10300,10300,2100,VBB
2023-04-24,10300,10300,10200,10200,800,VBB
2023-04-25,10600,11800,10600,11400,100100,VBB
2023-04-26,10800,11300,10400,10800,60900,VBB
2023-04-27,11000,11000,10900,10900,6400,VBB
2023-04-28,10600,10800,10600,10600,3600,VBB
2023-05-04,10600,10800,10300,10300,19600,VBB
2023-05-05,10500,10500,10300,10300,9200,VBB
2023-05-08,10500,10500,10200,10400,7000,VBB
2023-05-09,10600,10600,10300,10400,8600,VBB
2023-05-10,10400,10500,10400,10500,5500,VBB
2023-05-11,10500,10500,10500,10500,500,VBB
2023-05-12,10500,10700,10500,10700,8700,VBB
2023-05-15,11200,11200,10500,10600,2600,VBB
2023-05-16,10100,10600,10100,10600,8300,VBB
2023-05-17,10500,10500,10400,10500,1100,VBB
2023-05-18,10400,10600,10400,10600,2500,VBB
2023-05-19,10600,10600,10600,10600,200,VBB
2023-05-22,10400,10600,10400,10500,2000,VBB
2023-05-23,10500,10500,10500,10500,3100,VBB
2023-05-24,10500,10600,10400,10600,6000,VBB
2023-05-25,10500,10500,10200,10400,3600,VBB
2023-05-26,10300,10500,10300,10400,2900,VBB
2023-05-29,10300,10500,10300,10400,13300,VBB
2023-05-30,10500,10600,10400,10400,8100,VBB
2023-05-31,10500,10500,10400,10400,40800,VBB
