time,open,high,low,close,volume,ticker
2023-01-04,225000,225000,225000,225000,200,VCF
2023-01-09,240700,240700,240700,240700,200,VCF
2023-01-11,225300,225300,225300,225300,100,VCF
2023-01-13,240900,240900,220100,220100,200,VCF
2023-01-17,222500,222700,222500,222700,200,VCF
2023-01-19,216300,238100,216300,222100,400,VCF
2023-01-31,237000,237000,237000,237000,100,VCF
2023-02-01,239000,239000,225100,225100,300,VCF
2023-02-02,240800,240800,240800,240800,200,VCF
2023-02-08,224000,238000,224000,226000,300,VCF
2023-02-10,236000,237000,236000,237000,200,VCF
2023-02-15,239000,246900,239000,246900,200,VCF
2023-02-17,262900,262900,262900,262900,100,VCF
2023-02-21,262800,262800,260000,260000,400,VCF
2023-03-06,260000,260000,260000,260000,200,VCF
2023-03-07,241800,241800,241800,241800,100,VCF
2023-03-09,254900,254900,231900,231900,200,VCF
2023-03-10,231000,248100,231000,248100,200,VCF
2023-03-14,230900,230900,230900,230900,100,VCF
2023-03-17,214900,214900,214900,214900,100,VCF
2023-03-20,229900,229900,229800,229800,800,VCF
2023-03-22,227800,227800,227700,227700,200,VCF
2023-03-23,220200,220200,220200,220200,100,VCF
2023-03-24,235400,235400,235400,235400,100,VCF
2023-03-29,220000,220000,219000,219000,200,VCF
2023-03-30,228000,228000,228000,228000,100,VCF
2023-03-31,217900,217900,217900,217900,100,VCF
2023-04-04,210200,210200,210200,210200,1800,VCF
2023-04-05,208000,208000,208000,208000,100,VCF
2023-04-06,201000,201000,201000,201000,100,VCF
2023-04-07,216900,216900,216900,216900,100,VCF
2023-04-10,216500,216500,212400,212400,400,VCF
2023-04-11,208100,208100,208100,208100,100,VCF
2023-04-12,210000,210000,209400,209400,1100,VCF
2023-04-13,209600,209600,209500,209500,200,VCF
2023-04-14,210000,210000,210000,210000,100,VCF
2023-04-17,201100,201100,201100,201100,100,VCF
2023-04-18,206600,206600,206600,206600,100,VCF
2023-04-19,219900,219900,215000,217500,700,VCF
2023-04-20,217400,217400,217400,217400,100,VCF
2023-04-21,206900,206900,206900,206900,100,VCF
2023-04-24,207000,207000,207000,207000,100,VCF
2023-04-25,201100,203000,200200,203000,800,VCF
2023-04-27,214300,214300,214300,214300,100,VCF
2023-04-28,205600,205600,205000,205000,800,VCF
2023-05-04,203000,203000,203000,203000,100,VCF
2023-05-05,202700,202700,202200,202200,400,VCF
2023-05-08,202100,202500,200100,201000,800,VCF
2023-05-12,200100,202000,200100,202000,400,VCF
2023-05-15,204900,204900,204900,204900,100,VCF
2023-05-16,200600,200600,200600,200600,100,VCF
2023-05-17,202000,202000,202000,202000,200,VCF
2023-05-22,201900,201900,201800,201800,600,VCF
2023-05-23,203900,203900,203900,203900,100,VCF
2023-05-24,203800,203900,203500,203500,600,VCF
2023-05-25,210000,210000,210000,210000,100,VCF
2023-05-26,201100,206400,201100,206400,400,VCF
2023-05-31,202100,202100,201500,201500,600,VCF
2023-06-01,201600,201600,198100,198100,600,VCF
2023-06-05,208900,208900,208300,208300,200,VCF
2023-06-06,209800,209800,200600,200600,200,VCF
2023-06-08,211000,211000,201500,201500,200,VCF
2023-06-09,201600,201600,201500,201500,300,VCF
2023-06-12,198200,198500,198200,198500,400,VCF
2023-06-13,190500,197000,190500,197000,700,VCF
2023-06-14,190200,197000,190200,197000,500,VCF
2023-06-15,198000,198000,198000,198000,100,VCF
2023-06-16,199000,200500,199000,200000,400,VCF
2023-06-20,200000,200000,200000,200000,300,VCF
2023-06-21,202800,202800,202800,202800,100,VCF
2023-06-22,202800,209900,202800,208400,400,VCF
2023-06-23,194400,206900,194300,206900,300,VCF
2023-06-27,200000,200000,195500,196500,300,VCF
2023-06-28,195500,195900,195500,195800,600,VCF
2023-06-29,204900,204900,199900,199900,400,VCF
2023-06-30,196500,196500,196500,196500,100,VCF
2023-07-03,202900,202900,202900,202900,100,VCF
2023-07-04,197700,197700,197200,197600,800,VCF
2023-07-05,199000,199900,199000,199900,200,VCF
2023-07-06,198000,198000,198000,198000,100,VCF
2023-07-07,201700,201700,201700,201700,100,VCF
