time,open,high,low,close,volume,ticker
2023-01-03,16090,16770,16050,16770,7707800,VCG
2023-01-04,17230,17590,16590,16590,12122100,VCG
2023-01-05,16680,17410,16550,17410,10536900,VCG
2023-01-06,17550,17550,16640,16640,9395200,VCG
2023-01-09,16860,17050,16320,16450,6672400,VCG
2023-01-10,16450,17590,16050,17590,15736400,VCG
2023-01-11,18000,18090,17590,17730,8804300,VCG
2023-01-12,17820,18500,17550,18500,11251800,VCG
2023-01-13,18590,18820,17910,17910,9218900,VCG
2023-01-16,18000,18640,17820,18270,8662500,VCG
2023-01-17,18450,19050,18450,18640,8789200,VCG
2023-01-18,18680,19270,18410,19000,8570900,VCG
2023-01-19,18820,19270,18730,19270,7779900,VCG
2023-01-27,19550,20180,19320,19640,9179200,VCG
2023-01-30,19640,20140,18910,18950,13670800,VCG
2023-01-31,18820,19860,18730,19860,8702900,VCG
2023-02-01,20000,20180,18500,18500,12551300,VCG
2023-02-02,18550,18680,18000,18050,8482400,VCG
2023-02-03,18180,19090,18180,18730,6982100,VCG
2023-02-06,18450,18910,18410,18640,4345100,VCG
2023-02-07,18860,18860,17450,17590,7840500,VCG
2023-02-08,17860,18410,17090,17950,6864400,VCG
2023-02-09,17950,18320,17820,18050,3729700,VCG
2023-02-10,18000,18140,17550,17550,3966700,VCG
2023-02-13,17230,17450,16640,17000,6452800,VCG
2023-02-14,17230,17450,17000,17140,3302100,VCG
2023-02-15,17180,18320,17180,18320,10046600,VCG
2023-02-16,18640,18770,18360,18640,4894000,VCG
2023-02-17,18590,19410,18550,18950,8702200,VCG
2023-02-20,19270,19730,19000,19730,7133400,VCG
2023-02-21,19950,20500,19320,19550,14522700,VCG
2023-02-22,19090,19950,18770,18770,11811200,VCG
2023-02-23,18770,19000,17820,19000,9469700,VCG
2023-02-24,19000,19180,18230,18320,4012000,VCG
2023-02-27,18000,18090,17270,17450,7002700,VCG
2023-02-28,17680,17950,17360,17450,4130500,VCG
2023-03-01,17450,18550,17320,18550,5050500,VCG
2023-03-02,18680,18770,18090,18140,2940300,VCG
2023-03-03,18180,18550,17820,17820,4793200,VCG
2023-03-06,18180,18450,17860,18000,3371100,VCG
2023-03-07,18270,18360,18000,18270,3252900,VCG
2023-03-08,18140,19090,18000,19090,8965700,VCG
2023-03-09,19180,19320,18950,19000,5978900,VCG
2023-03-10,18820,19000,18450,18730,6954400,VCG
2023-03-13,18500,18590,18180,18320,4379500,VCG
2023-03-14,18180,18450,17410,17450,7869600,VCG
2023-03-15,18090,18500,17820,18410,4151400,VCG
2023-03-16,18090,18270,17730,18090,3800500,VCG
2023-03-17,18320,18360,18000,18230,3543600,VCG
2023-03-20,18000,18550,17730,17730,4625300,VCG
2023-03-21,18000,18180,17640,18140,3877200,VCG
2023-03-22,18230,18450,18000,18000,4246300,VCG
2023-03-23,17820,18090,17730,17860,2906500,VCG
2023-03-24,18000,18640,18000,18270,11140400,VCG
2023-03-27,18410,19090,18270,19000,11692900,VCG
2023-03-28,19230,19730,18860,18860,10701800,VCG
2023-03-29,18820,18950,18590,18820,7323400,VCG
2023-03-30,19180,19270,18680,18770,6894700,VCG
2023-03-31,18680,18770,18140,18640,8906200,VCG
2023-04-03,18910,19050,18640,18950,9643100,VCG
2023-04-04,19180,19410,19050,19050,10814800,VCG
2023-04-05,18910,19270,18820,19000,9504700,VCG
2023-04-06,19320,19950,19050,19320,24456600,VCG
2023-04-07,19090,19180,18770,19000,6885600,VCG
2023-04-10,19090,19230,18140,18230,20175700,VCG
2023-04-11,18140,18320,18000,18180,7120500,VCG
2023-04-12,18360,18550,18180,18320,8707000,VCG
2023-04-13,18270,18360,18090,18140,4250500,VCG
2023-04-14,18180,18230,17770,17820,7302500,VCG
2023-04-17,17820,18000,17640,17770,4182100,VCG
2023-04-18,17820,18410,17730,18140,11953800,VCG
2023-04-19,18360,18360,17910,17950,3799600,VCG
2023-04-20,17950,18050,17730,17910,2756200,VCG
2023-04-21,17820,17910,17320,17590,6950500,VCG
2023-04-24,17450,17590,17140,17360,4472900,VCG
2023-04-25,17410,17640,17180,17230,3320700,VCG
2023-04-26,17180,17410,17050,17410,2692000,VCG
2023-04-27,17550,17770,17450,17500,3190300,VCG
2023-04-28,17640,17640,17360,17410,3371400,VCG
2023-05-04,17320,17770,17230,17550,4065600,VCG
2023-05-05,17450,17590,17410,17500,2102700,VCG
2023-05-08,17500,17770,17500,17730,3850100,VCG
2023-05-09,17910,18090,17820,17860,4212400,VCG
2023-05-10,17910,18050,17730,17950,5348500,VCG
2023-05-11,18000,18090,17860,17910,7493300,VCG
2023-05-12,17820,18450,17820,18270,9063300,VCG
2023-05-15,18550,18640,18090,18090,5412100,VCG
2023-05-16,18140,18410,18000,18050,5619100,VCG
2023-05-17,18090,18140,17590,17590,7347700,VCG
2023-05-18,17640,17820,17550,17590,4025300,VCG
2023-05-19,17590,17820,17450,17770,4090300,VCG
2023-05-22,17910,18820,17860,18680,15437900,VCG
2023-05-23,18730,18770,18320,18360,7838900,VCG
2023-05-24,18450,18730,18320,18410,10934100,VCG
2023-05-25,18360,18950,18230,18730,14335500,VCG
2023-05-26,18910,19270,18770,18860,9550800,VCG
2023-05-29,19090,19450,18860,19180,14088900,VCG
2023-05-30,19320,19450,19050,19270,10748800,VCG
2023-05-31,19320,19730,18950,19000,11118200,VCG
2023-06-01,19050,19230,18860,18950,10013700,VCG
