time,open,high,low,close,volume,ticker
2023-01-03,21200,21200,21200,21200,100,VCM
2023-01-06,19100,21000,19100,21000,200,VCM
2023-01-31,20900,21000,20900,21000,1000,VCM
2023-02-10,21500,21500,21500,21500,1000,VCM
2023-02-13,21500,21500,21000,21400,1200,VCM
2023-03-02,19300,21500,19300,21500,200,VCM
2023-03-08,22000,22000,22000,22000,200,VCM
2023-04-06,20000,20000,20000,20000,1000,VCM
2023-04-07,18100,22000,18100,22000,600,VCM
2023-05-05,20000,20000,20000,20000,100,VCM
2023-05-08,20000,20000,20000,20000,1000,VCM
2023-05-10,19000,19000,17600,17600,1300,VCM
2023-05-11,17600,17600,15900,15900,2100,VCM
2023-05-12,14500,14500,14400,14400,2900,VCM
2023-05-15,14000,14000,14000,14000,300,VCM
2023-05-17,14300,14300,14300,14300,100,VCM
2023-05-18,14200,14200,14200,14200,100,VCM
2023-05-19,14200,14200,14200,14200,300,VCM
2023-05-22,15700,15700,15700,15700,300,VCM
2023-05-23,15700,15700,15700,15700,100,VCM
2023-05-24,15500,18800,15500,18800,800,VCM
2023-05-25,18000,18000,18000,18000,200,VCM
2023-05-26,18000,18000,18000,18000,2000,VCM
2023-05-29,19700,19800,19700,19700,7000,VCM
2023-05-30,19700,20500,18200,18900,23300,VCM
2023-05-31,18000,19000,17300,19000,2500,VCM
2023-06-02,19200,19600,19000,19600,8900,VCM
2023-06-05,19800,21500,19600,21500,10600,VCM
2023-06-06,23600,23600,23500,23500,2200,VCM
2023-06-07,23500,25500,23500,24200,19900,VCM
2023-06-08,24300,26000,24300,26000,1000,VCM
2023-06-09,24500,25100,24500,25100,7100,VCM
2023-06-12,26700,26700,24000,26200,10200,VCM
2023-06-13,23600,26400,23600,26400,9500,VCM
2023-06-14,26400,27000,26400,27000,9800,VCM
2023-06-15,26000,26500,24300,26500,12000,VCM
2023-06-16,24100,26000,23900,26000,15400,VCM
2023-06-19,26000,28500,25800,28500,52600,VCM
2023-06-20,25700,29100,25700,29100,113300,VCM
2023-06-21,26200,26200,26200,26200,500,VCM
2023-06-22,24100,24100,23700,23700,3200,VCM
2023-06-23,25700,25700,21900,21900,500,VCM
2023-06-27,23800,23800,23800,23800,100,VCM
2023-06-28,24900,24900,24900,24900,1300,VCM
2023-06-29,25300,25300,22600,22600,1200,VCM
2023-06-30,21500,23800,21500,23800,2300,VCM
2023-07-03,24600,24600,24600,24600,100,VCM
2023-07-06,26000,26000,26000,26000,100,VCM
2023-07-10,25800,25800,23400,24600,600,VCM
2023-07-11,25200,25200,25200,25200,100,VCM
2023-07-12,22700,25300,22700,25300,300,VCM
2023-07-13,22800,22800,22800,22800,200,VCM
2023-07-18,20600,23700,20600,23700,200,VCM
2023-07-20,25500,25500,25500,25500,100,VCM
2023-07-21,26800,26800,26800,26800,100,VCM
2023-07-26,24200,24200,24200,24200,100,VCM
2023-07-27,24900,24900,24900,24900,100,VCM
2023-07-28,25700,25700,25700,25700,100,VCM
2023-08-02,23200,23300,23200,23300,400,VCM
2023-08-03,25300,25300,25000,25000,200,VCM
2023-08-09,23900,23900,22500,22500,1100,VCM
2023-08-10,22200,22200,22200,22200,600,VCM
2023-08-14,22200,22200,22000,22000,200,VCM
2023-08-15,22900,22900,22900,22900,100,VCM
2023-08-16,20700,20700,20700,20700,500,VCM
2023-08-22,22300,22300,20000,20000,300,VCM
2023-08-24,20000,20000,19900,19900,200,VCM
2023-08-25,18000,18000,18000,18000,300,VCM
2023-09-07,19600,19600,18000,18000,200,VCM
2023-09-15,17000,17000,17000,17000,500,VCM
2023-09-18,16900,16900,16900,16900,400,VCM
2023-09-19,17000,17000,17000,17000,600,VCM
2023-09-20,17100,17100,17100,17100,600,VCM
2023-09-22,16000,16000,16000,16000,100,VCM
2023-09-26,15600,15600,15600,15600,200,VCM
2023-10-04,16900,16900,16900,16900,100,VCM
2023-10-11,18200,18200,18200,18200,100,VCM
2023-10-13,16400,19300,16400,19300,7500,VCM
