time,open,high,low,close,volume,ticker
2023-01-03,22700,23000,22700,22700,800,VCP
2023-01-04,22700,22700,22700,22700,200,VCP
2023-01-05,22500,22500,22500,22500,1400,VCP
2023-01-06,23000,23000,22500,22500,3900,VCP
2023-01-10,22800,22800,22800,22800,10700,VCP
2023-01-12,23000,23000,23000,23000,300,VCP
2023-01-13,22800,22800,22800,22800,600,VCP
2023-01-16,22600,22600,22600,22600,800,VCP
2023-01-17,22800,22800,22800,22800,100,VCP
2023-01-18,22800,22800,22800,22800,4500,VCP
2023-01-30,22800,23900,22000,23000,3200,VCP
2023-01-31,23800,24000,23800,24000,1500,VCP
2023-02-01,25000,25000,23900,23900,2000,VCP
2023-02-02,24000,24000,24000,24000,900,VCP
2023-02-03,24000,24200,24000,24200,2400,VCP
2023-02-06,25500,25500,24500,25000,4800,VCP
2023-02-07,24400,24400,24400,24400,100,VCP
2023-02-08,24500,24500,24500,24500,2000,VCP
2023-02-09,24600,25500,24600,25500,5800,VCP
2023-02-10,25500,25500,25500,25500,4400,VCP
2023-02-14,23200,25400,23200,25400,1100,VCP
2023-02-15,24100,24100,24100,24100,100,VCP
2023-02-16,25300,25300,25300,25300,100,VCP
2023-02-20,23400,25500,23400,25500,1600,VCP
2023-02-21,25000,25000,25000,25000,500,VCP
2023-02-22,24100,24100,24100,24100,100,VCP
2023-02-24,25400,25400,25400,25400,500,VCP
2023-02-27,25500,25500,25500,25500,500,VCP
2023-02-28,23300,23300,23300,23300,100,VCP
2023-03-01,25400,25600,25400,25600,2900,VCP
2023-03-03,25500,25500,25500,25500,8700,VCP
2023-03-06,24300,25800,24300,25500,3900,VCP
2023-03-07,23600,25500,23600,25500,6700,VCP
2023-03-08,24100,25500,24100,25500,3300,VCP
2023-03-10,24200,25000,24200,25000,1400,VCP
2023-03-14,24200,24200,24200,24200,100,VCP
2023-03-16,25500,25500,25500,25500,1000,VCP
2023-03-17,24300,24300,24300,24300,100,VCP
2023-03-20,24500,25000,24500,25000,800,VCP
2023-03-21,24800,24800,24800,24800,100,VCP
2023-03-22,24800,24800,24800,24800,100,VCP
2023-03-23,25000,25000,25000,25000,100,VCP
2023-03-24,25500,25500,25500,25500,100,VCP
2023-03-27,24300,24300,24300,24300,100,VCP
2023-04-03,25000,25000,25000,25000,100,VCP
2023-04-05,25500,25900,25500,25900,1100,VCP
2023-04-06,25800,25800,25800,25800,200,VCP
2023-04-07,25800,25900,25800,25900,1700,VCP
2023-04-10,26400,26400,26400,26400,200,VCP
2023-04-13,25500,26600,25500,26600,2500,VCP
2023-04-14,26500,26500,26500,26500,200,VCP
2023-04-18,26500,26500,26500,26500,300,VCP
2023-04-19,25500,25500,25500,25500,200,VCP
2023-04-20,26500,27500,26000,26000,9100,VCP
2023-04-24,26900,26900,26900,26900,4800,VCP
2023-04-25,27000,27000,27000,27000,1400,VCP
2023-04-27,27000,27000,27000,27000,500,VCP
2023-05-04,26600,26600,26600,26600,700,VCP
2023-05-08,27900,27900,27900,27900,200,VCP
2023-05-09,26500,26500,26500,26500,200,VCP
2023-05-12,27800,27800,27800,27800,100,VCP
2023-05-15,27800,27800,27800,27800,300,VCP
2023-05-16,27000,27000,27000,27000,300,VCP
