time,open,high,low,close,volume,ticker
2023-02-07,45000,45000,45000,45000,100,VCW
2023-02-20,46000,46000,46000,46000,100,VCW
2023-02-27,48000,48000,44100,44100,400,VCW
2023-03-02,43100,43100,43100,43100,100,VCW
2023-03-03,42100,42100,42100,42100,200,VCW
2023-03-08,40100,40100,40100,40100,500,VCW
2023-03-09,40900,40900,39100,40800,2400,VCW
2023-03-10,40600,40600,40600,40600,1500,VCW
2023-03-14,39100,39100,39100,39100,100,VCW
2023-03-15,38100,43000,38100,43000,3100,VCW
2023-03-31,42800,42800,42800,42800,1000,VCW
2023-05-04,36400,36400,36400,36400,500,VCW
2023-05-05,41500,41500,31000,31000,4300,VCW
2023-05-08,31600,31800,31600,31600,19500,VCW
2023-05-09,31600,32000,31600,32000,200,VCW
2023-05-10,32700,32700,32700,32700,200,VCW
2023-05-11,33000,33200,32700,32700,3500,VCW
2023-05-17,33200,33200,33200,33200,1000,VCW
2023-05-19,32000,32000,32000,32000,1000,VCW
2023-05-22,32000,32000,32000,32000,8000,VCW
2023-05-23,32000,33600,32000,33600,400,VCW
2023-05-26,36800,36800,36800,36800,100,VCW
2023-05-29,36000,36000,36000,36000,100,VCW
2023-06-02,33600,33600,33600,33600,200,VCW
2023-06-06,33600,33600,33600,33600,100,VCW
2023-06-08,33400,33400,31100,31800,1700,VCW
2023-06-09,32000,32000,32000,32000,700,VCW
2023-06-12,32000,33000,31200,33000,800,VCW
2023-06-13,32000,32000,32000,32000,100,VCW
2023-06-14,31300,31400,31300,31400,8300,VCW
2023-06-15,31300,31300,31200,31300,4900,VCW
2023-06-20,31300,31300,31100,31100,300,VCW
2023-06-22,31300,31300,31100,31300,5800,VCW
2023-06-29,33100,33100,33100,33100,100,VCW
2023-06-30,33600,33700,33500,33500,1100,VCW
2023-07-03,33700,33700,33700,33700,100,VCW
2023-07-04,33700,33700,33700,33700,100,VCW
2023-07-05,33600,33600,33600,33600,100,VCW
2023-07-07,32800,32800,32000,32000,700,VCW
2023-07-10,32200,32200,32200,32200,300,VCW
2023-07-11,32200,32200,32200,32200,100,VCW
2023-07-12,32200,32200,31000,31000,200,VCW
2023-07-13,31600,31600,31600,31600,12600,VCW
2023-07-17,32500,32500,32500,32500,100,VCW
2023-07-18,32400,32400,32400,32400,300,VCW
2023-07-19,32400,32400,32400,32400,1200,VCW
2023-07-20,32400,32400,32400,32400,400,VCW
2023-08-01,32400,32400,32400,32400,600,VCW
2023-08-02,32400,32600,32000,32200,2700,VCW
2023-08-03,32299,32299,32299,32299,300,VCW
2023-08-07,32299,32299,32299,32299,200,VCW
2023-08-09,32299,32299,32299,32299,100,VCW
2023-08-14,31500,32000,31500,32000,1100,VCW
2023-08-15,32000,32000,32000,32000,100,VCW
2023-08-16,32000,32000,32000,32000,100,VCW
2023-08-31,33000,33000,32000,32000,700,VCW
2023-09-08,33200,33200,33200,33200,200,VCW
2023-09-12,33100,33100,33100,33100,200,VCW
2023-09-14,29100,29100,29100,29100,500,VCW
2023-09-19,31000,31300,31000,31300,200,VCW
2023-09-25,32000,32000,32000,32000,100,VCW
2023-09-26,30000,30000,30000,30000,400,VCW
2023-09-27,29200,29200,29200,29200,1500,VCW
2023-09-29,29300,29300,29300,29300,100,VCW
2023-10-02,29200,29200,29200,29200,300,VCW
2023-10-06,29200,29200,28500,28500,1400,VCW
