time,open,high,low,close,volume,ticker
2023-01-03,7500,7800,7360,7780,157300,VDS
2023-01-04,7900,8000,7500,7610,144200,VDS
2023-01-05,7540,7640,7400,7610,290000,VDS
2023-01-06,7520,7680,7380,7400,227100,VDS
2023-01-09,7400,7500,7260,7280,106900,VDS
2023-01-10,7290,7300,7200,7230,205200,VDS
2023-01-11,7230,7480,7230,7440,151900,VDS
2023-01-12,7430,7460,7330,7350,71600,VDS
2023-01-13,7350,7500,7350,7360,120300,VDS
2023-01-16,7350,7460,7200,7300,207100,VDS
2023-01-17,7480,7590,7230,7500,263200,VDS
2023-01-18,7550,8000,7550,7990,445500,VDS
2023-01-19,8029,8250,8020,8020,311400,VDS
2023-01-27,8020,8200,8020,8020,277500,VDS
2023-01-30,8090,8210,8020,8140,337800,VDS
2023-01-31,8140,8200,7950,8200,373700,VDS
2023-02-01,8300,8500,7850,7850,564800,VDS
2023-02-02,7950,8100,7800,7820,203300,VDS
2023-02-03,7650,8180,7650,7720,126800,VDS
2023-02-06,7750,7800,7600,7800,121900,VDS
2023-02-07,7900,7980,7600,7640,188200,VDS
2023-02-08,7730,7830,7600,7600,138900,VDS
2023-02-09,7600,7880,7600,7690,82700,VDS
2023-02-10,7600,7770,7460,7460,182400,VDS
2023-02-13,7470,7470,7220,7350,159100,VDS
2023-02-14,7300,7430,7150,7390,98300,VDS
2023-02-15,7200,7490,7200,7440,153700,VDS
2023-02-16,7440,7570,7400,7570,94400,VDS
2023-02-17,7650,7650,7400,7480,107900,VDS
2023-02-20,7360,7850,7360,7800,431700,VDS
2023-02-21,7890,7890,7570,7700,237300,VDS
2023-02-22,7510,7600,7400,7510,171400,VDS
2023-02-23,7590,7590,7310,7510,168700,VDS
2023-02-24,7510,7510,7360,7390,85100,VDS
2023-02-27,7310,7410,7260,7410,95500,VDS
2023-02-28,7410,7410,7300,7310,72900,VDS
2023-03-01,7400,7400,7160,7390,87100,VDS
2023-03-02,7380,7400,7250,7350,69700,VDS
2023-03-03,7340,7350,7180,7200,169800,VDS
2023-03-06,7200,7390,7200,7260,70800,VDS
2023-03-07,7270,7300,7200,7300,159800,VDS
2023-03-08,7300,7400,7210,7400,127700,VDS
2023-03-09,7400,7550,7310,7550,253400,VDS
2023-03-10,7500,7540,7340,7500,138200,VDS
