time,open,high,low,close,volume,ticker
2023-01-05,4800,4800,4800,4800,300,VE8
2023-01-11,4400,4700,4400,4700,200,VE8
2023-01-13,4700,4800,4700,4800,300,VE8
2023-01-18,4700,4700,4700,4700,500,VE8
2023-01-27,4900,4900,4900,4900,300,VE8
2023-02-07,4900,5300,4900,5300,2100,VE8
2023-02-08,5300,5300,5300,5300,400,VE8
2023-02-09,5700,5700,5700,5700,500,VE8
2023-02-16,5200,5300,5200,5300,800,VE8
2023-02-20,5600,5600,5600,5600,500,VE8
2023-03-14,5100,5100,5100,5100,400,VE8
2023-03-16,4600,4600,4600,4600,2100,VE8
2023-03-17,4300,4300,4300,4300,2900,VE8
2023-03-20,4100,4600,4100,4600,2200,VE8
2023-03-21,4900,4900,4900,4900,500,VE8
2023-03-22,5100,5100,5100,5100,500,VE8
2023-03-24,5300,5300,5300,5300,700,VE8
2023-04-05,4600,4600,4600,4600,2100,VE8
2023-04-06,4400,4400,4400,4400,300,VE8
2023-04-07,4200,4200,4200,4200,200,VE8
2023-04-07,4200,4200,4200,4200,200,VE8
2023-04-10,4300,4300,4300,4300,100,VE8
2023-04-12,4300,4300,4200,4300,800,VE8
2023-04-13,4100,4300,4100,4300,300,VE8
2023-04-17,4100,4100,4100,4100,200,VE8
2023-04-18,4400,4400,4400,4400,100,VE8
2023-04-19,4700,4700,4700,4700,300,VE8
2023-04-20,5000,5000,5000,5000,300,VE8
2023-04-21,5100,5100,5100,5100,300,VE8
2023-04-28,5000,5000,5000,5000,200,VE8
2023-05-10,5200,5200,5200,5200,200,VE8
2023-05-15,5500,5500,5500,5500,300,VE8
2023-05-17,4800,4800,4800,4800,100,VE8
2023-05-31,5100,5600,5100,5600,4000,VE8
2023-06-01,5600,5600,5600,5600,200,VE8
2023-06-07,5100,5500,5100,5500,4500,VE8
2023-06-09,5000,5500,5000,5500,800,VE8
2023-06-14,5000,6000,5000,6000,15600,VE8
2023-06-15,5400,5900,5400,5900,1200,VE8
2023-06-16,5400,5800,5400,5400,1500,VE8
2023-06-19,5000,5000,4900,4900,3000,VE8
2023-06-20,4600,4600,4500,4500,3600,VE8
2023-06-21,4600,4600,4400,4400,300,VE8
2023-06-22,4400,4800,4100,4800,12500,VE8
2023-06-23,4500,4900,4500,4900,6100,VE8
2023-06-26,4500,4700,4500,4700,9100,VE8
2023-06-27,4400,4500,4400,4500,400,VE8
2023-06-28,4300,4300,4300,4300,200,VE8
2023-06-29,4300,4300,4200,4200,18100,VE8
2023-06-30,4200,4300,4200,4300,1600,VE8
2023-07-03,4300,4300,4300,4300,100,VE8
2023-07-04,4300,4300,4200,4300,5400,VE8
2023-07-05,4300,4300,4300,4300,900,VE8
2023-07-06,4300,4300,4200,4200,4400,VE8
2023-07-07,4200,4300,4200,4300,1900,VE8
2023-07-10,4300,4300,4300,4300,800,VE8
2023-07-11,4300,4600,4300,4600,6600,VE8
2023-07-12,4300,4300,4200,4300,11000,VE8
2023-07-13,4300,4300,4300,4300,4500,VE8
2023-07-14,4300,4300,4300,4300,100,VE8
2023-07-17,4300,4300,4300,4300,2200,VE8
2023-07-18,4300,4300,4300,4300,4100,VE8
2023-07-19,4300,4300,4300,4300,2500,VE8
2023-07-20,4300,4400,4200,4200,1400,VE8
2023-07-21,4300,4400,4300,4400,900,VE8
2023-07-24,4300,4300,4300,4300,300,VE8
