time,open,high,low,close,volume,ticker
2023-01-03,39300,40000,39200,40000,25700,VEA
2023-01-04,39500,40000,39500,39900,146400,VEA
2023-01-05,39800,40100,39700,39800,15600,VEA
2023-01-06,39600,39800,39000,39000,75000,VEA
2023-01-09,39500,39500,39100,39200,10000,VEA
2023-01-10,39000,39000,38800,38900,16900,VEA
2023-01-11,39000,39100,38600,39000,32600,VEA
2023-01-12,38900,39000,38700,38800,9500,VEA
2023-01-13,38600,38600,38400,38500,133600,VEA
2023-01-16,38600,38700,36800,37500,278400,VEA
2023-01-17,37500,38200,37500,38100,73800,VEA
2023-01-18,38000,38000,37800,37900,49000,VEA
2023-01-19,37800,38100,37800,38000,34100,VEA
2023-01-27,40000,40000,39100,39600,156300,VEA
2023-01-30,39500,40200,39500,40200,159900,VEA
2023-01-31,40800,41500,40500,41100,180100,VEA
2023-02-01,41500,41800,40400,40400,101600,VEA
2023-02-02,40900,40900,40200,40200,47600,VEA
2023-02-03,40400,40900,40200,40300,62600,VEA
2023-02-06,40300,40700,40200,40500,70800,VEA
2023-02-07,40800,40800,40300,40400,50300,VEA
2023-02-08,40400,40500,39900,40000,539900,VEA
2023-02-09,40200,40200,38000,38800,537200,VEA
2023-02-10,38500,39500,38500,39000,25500,VEA
2023-02-13,39100,39100,38100,38500,78000,VEA
2023-02-14,38500,38900,38300,38800,40900,VEA
2023-02-15,38900,38900,38700,38900,42100,VEA
2023-02-16,38800,38900,38400,38900,93100,VEA
2023-02-17,38800,39000,38400,38400,50200,VEA
2023-02-20,38900,39000,38200,38800,130700,VEA
2023-02-21,38800,39700,38800,39400,89200,VEA
2023-02-22,39100,39200,38700,39100,77400,VEA
2023-02-23,38900,38900,38300,38600,67600,VEA
2023-02-24,38700,38700,38500,38500,12700,VEA
2023-02-27,37900,38600,37900,38000,142800,VEA
2023-02-28,38200,38200,37700,38000,105100,VEA
2023-03-01,37800,38000,37800,37900,85400,VEA
2023-03-02,38000,38000,37700,37800,63900,VEA
2023-03-03,38000,38100,37800,37800,48600,VEA
2023-03-06,38100,38400,37900,38000,38300,VEA
2023-03-07,38100,38100,37900,38000,52000,VEA
2023-03-08,37900,37900,37500,37600,100500,VEA
2023-03-09,37900,38000,37600,37900,143600,VEA
2023-03-10,37900,38200,37800,38100,44700,VEA
2023-03-13,38000,38100,37700,37800,60900,VEA
2023-03-14,37800,37900,37600,37700,37800,VEA
2023-03-15,38000,38100,37900,38100,79800,VEA
2023-03-16,38100,38100,37700,37700,26000,VEA
2023-03-17,38000,38000,37800,38000,26800,VEA
2023-03-20,38000,38100,37600,37600,52200,VEA
2023-03-21,37600,37900,37500,37800,62200,VEA
2023-03-22,37700,37800,37700,37800,21400,VEA
2023-03-23,37800,37800,37800,37800,4900,VEA
2023-03-24,37900,37900,37800,37800,600,VEA
2023-03-27,37900,38000,37800,37900,24900,VEA
2023-03-28,37900,38000,37900,37900,5100,VEA
2023-03-29,37900,37900,37900,37900,700,VEA
2023-03-30,37900,37900,37800,37800,2700,VEA
2023-03-31,37700,37900,37600,37600,99400,VEA
2023-04-03,37800,37900,37700,37700,18200,VEA
2023-04-04,37800,37800,37300,37500,169900,VEA
2023-04-05,37700,37700,37400,37600,42700,VEA
