time,open,high,low,close,volume,ticker
2023-01-03,65000,65000,64099,64099,6400,VEF
2023-01-04,65000,65500,65000,65500,1700,VEF
2023-01-05,63500,65200,63000,63000,5800,VEF
2023-01-06,64000,69800,64000,69800,2300,VEF
2023-01-09,68500,68500,65000,65000,1300,VEF
2023-01-10,64000,66500,64000,64099,2900,VEF
2023-01-11,64500,67300,64300,64300,4600,VEF
2023-01-12,64300,64500,64000,64500,2400,VEF
2023-01-13,72000,72000,64000,64200,7500,VEF
2023-01-16,69800,69800,69800,69800,1200,VEF
2023-01-17,65000,65000,63600,63800,1100,VEF
2023-01-18,66800,66800,66700,66800,3800,VEF
2023-01-19,66700,67900,66600,67900,1900,VEF
2023-01-27,68000,68000,66800,67000,3100,VEF
2023-01-30,70000,70000,66200,68600,1100,VEF
2023-01-31,68500,69000,68500,69000,1600,VEF
2023-02-01,70000,71000,66000,66000,3800,VEF
2023-02-03,68000,68000,68000,68000,6700,VEF
2023-02-06,68000,69000,68000,68000,3900,VEF
2023-02-07,68500,68500,68000,68500,9700,VEF
2023-02-08,68100,68100,68000,68000,3100,VEF
2023-02-09,66200,69900,66200,68800,2600,VEF
2023-02-10,67900,68000,66000,68000,2300,VEF
2023-02-13,65000,65000,64500,64700,4300,VEF
2023-02-14,64500,64500,64500,64500,700,VEF
2023-02-15,64500,68000,64500,66000,17000,VEF
2023-02-16,67900,67900,67500,67500,1300,VEF
2023-02-17,68200,68200,65200,65200,400,VEF
2023-02-20,73000,73000,66800,66800,5700,VEF
2023-02-21,67300,69400,67300,69400,2700,VEF
2023-02-22,65200,68300,65200,65200,4800,VEF
2023-02-23,65099,67800,65099,67800,1500,VEF
2023-02-24,65300,65300,65300,65300,100,VEF
2023-02-27,65000,66900,64000,66900,1300,VEF
2023-02-28,68000,68000,65500,65500,300,VEF
2023-03-01,65000,68400,65000,68400,6400,VEF
2023-03-02,66500,66700,66000,66700,3900,VEF
2023-03-03,66200,67900,65000,67900,2800,VEF
2023-03-06,66200,72000,66200,67000,2600,VEF
2023-03-07,69500,69500,69500,69500,300,VEF
2023-03-08,69900,69900,66600,66600,500,VEF
2023-03-09,67100,69000,67000,68000,2700,VEF
2023-03-10,68000,68500,67600,68300,6200,VEF
2023-03-13,67700,68000,67700,68000,2800,VEF
2023-03-14,74700,74700,67000,67200,1100,VEF
2023-03-15,69000,69000,67000,68900,5100,VEF
2023-03-16,67000,67000,67000,67000,500,VEF
2023-03-17,66500,67000,66500,67000,800,VEF
2023-03-20,66900,68800,66000,66000,5300,VEF
2023-03-21,66900,66900,66000,66300,2900,VEF
2023-03-22,70500,70500,70500,70500,300,VEF
2023-03-24,67100,67100,67100,67100,100,VEF
2023-03-27,67300,67300,67300,67300,500,VEF
2023-03-28,68700,68700,68700,68700,100,VEF
2023-03-29,68000,68000,67900,67900,1000,VEF
2023-03-30,67700,67700,67700,67700,200,VEF
