time,open,high,low,close,volume,ticker
2023-01-03,46060,46060,46060,46060,100,VFC
2023-01-13,46060,52910,46060,52910,6500,VFC
2023-01-19,51150,51150,43520,43520,2400,VFC
2023-01-31,58480,58480,58480,58480,1000,VFC
2023-02-02,63370,63370,50950,50950,14500,VFC
2023-02-03,59750,59750,59750,59750,100,VFC
2023-02-07,59750,68650,50850,50850,7000,VFC
2023-02-08,57700,57700,57700,57700,100,VFC
2023-02-13,66300,66300,49970,49970,4000,VFC
2023-02-15,61610,75790,60730,60730,4800,VFC
2023-02-16,63760,63760,63760,63760,200,VFC
2023-02-20,54280,54280,54280,54280,100,VFC
2023-02-22,46450,46450,46450,46450,100,VFC
2023-02-27,39510,39510,39510,39510,100,VFC
2023-03-07,39120,39120,39120,39120,200,VFC
2023-03-10,44990,44990,44990,44990,300,VFC
2023-03-14,51730,51730,51730,51730,100,VFC
2023-03-17,59460,59460,44010,44010,700,VFC
2023-03-20,57500,57500,57500,57500,800,VFC
2023-03-22,66010,66010,66010,66010,100,VFC
2023-03-23,75890,75890,75890,75890,1600,VFC
2023-03-28,63960,63960,63960,63960,100,VFC
2023-03-30,54370,54370,54370,54370,100,VFC
2023-04-20,62490,62490,62490,62490,100,VFC
2023-04-26,71780,71780,62690,62690,1900,VFC
2023-05-08,81460,81460,81460,81460,2000,VFC
2023-05-09,87530,87530,76180,76180,900,VFC
2023-05-10,73350,73350,73350,73350,100,VFC
2023-05-23,73350,73350,73350,73350,100,VFC
2023-05-25,57700,57700,57700,57700,100,VFC
2023-05-30,49090,49090,49090,49090,100,VFC
2023-05-31,48900,48900,48900,48900,1000,VFC
2023-06-01,48900,48900,48900,48900,800,VFC
2023-06-05,48900,48900,48900,48900,900,VFC
2023-06-08,56230,56230,56230,56230,100,VFC
2023-06-12,64640,64640,64640,64640,100,VFC
2023-06-15,74320,74320,74320,74320,100,VFC
2023-06-16,85470,85470,73440,73440,4100,VFC
2023-06-20,72170,72170,72170,72170,100,VFC
2023-06-21,61410,61410,61410,61410,100,VFC
2023-06-22,52220,52220,52220,52220,100,VFC
2023-06-23,44500,44500,44500,44500,100,VFC
2023-06-26,44990,44990,44990,44990,7000,VFC
2023-06-30,51730,51730,51730,51730,100,VFC
2023-07-05,59460,59460,59460,59460,100,VFC
2023-07-06,68360,68360,68360,68360,300,VFC
2023-07-07,78530,78530,68460,68460,2600,VFC
2023-07-10,73350,85670,63370,63370,20600,VFC
2023-07-11,63570,63570,63570,63570,500,VFC
2023-07-12,63570,63570,63570,63570,800,VFC
2023-07-13,64540,73050,58770,58870,3400,VFC
2023-07-14,66500,66500,66500,66500,100,VFC
2023-07-17,76470,76470,66600,66600,900,VFC
2023-07-18,86450,86450,64640,64640,14200,VFC
2023-07-19,86060,86060,73350,73350,1100,VFC
2023-07-20,73440,73440,73440,73440,200,VFC
2023-07-21,62780,62780,62780,62780,100,VFC
2023-08-03,62490,72170,53400,53400,2200,VFC
2023-08-07,56330,56330,56330,56330,100,VFC
2023-08-08,47920,47920,47920,47920,100,VFC
2023-08-18,55060,55060,55060,55060,100,VFC
2023-08-23,63270,63270,63270,63270,100,VFC
2023-08-24,63080,63080,63080,63080,2600,VFC
2023-08-25,66500,66500,66500,66500,100,VFC
2023-08-29,63000,63000,63000,63000,1000,VFC
2023-08-30,69000,69000,69000,69000,100,VFC
2023-08-31,78000,78000,78000,78000,100,VFC
2023-09-05,78000,89700,66600,66600,8900,VFC
2023-09-07,89000,89000,89000,89000,100,VFC
2023-09-11,75700,75700,75700,75700,100,VFC
2023-09-12,67000,67000,65000,65000,2200,VFC
2023-09-19,70000,70000,70000,70000,100,VFC
2023-09-20,80000,80000,60100,60100,5300,VFC
2023-09-21,89900,89900,67500,67500,2400,VFC
2023-09-22,89000,89900,75800,75800,4400,VFC
2023-09-27,75900,75900,75900,75900,100,VFC
