time,open,high,low,close,volume,ticker
2023-01-03,17500,20300,17500,20300,738100,VFS
2023-01-04,22400,22400,20500,22400,590100,VFS
2023-01-05,22400,23100,22400,22600,193900,VFS
2023-01-06,22500,22700,21900,22600,136100,VFS
2023-01-09,22500,22500,21900,22000,62300,VFS
2023-01-10,22000,22000,21700,22000,32300,VFS
2023-01-11,22000,22100,21800,22100,24900,VFS
2023-01-12,21900,22000,21900,22000,26400,VFS
2023-01-13,21900,22100,21900,22100,31000,VFS
2023-01-16,22000,22300,22000,22300,55000,VFS
2023-01-17,22200,22600,21900,22600,106400,VFS
2023-01-18,22200,22500,22200,22400,82000,VFS
2023-01-19,22400,22700,22300,22700,111700,VFS
2023-01-27,22500,23200,22500,23100,76600,VFS
2023-01-30,23000,23400,23000,23200,167500,VFS
2023-01-31,23100,24600,23000,24000,96800,VFS
2023-02-01,24000,26500,23100,24800,84000,VFS
2023-02-02,24000,28000,24000,25200,69300,VFS
2023-02-03,25200,27900,25200,26800,27700,VFS
2023-02-06,25500,27500,25500,26400,48500,VFS
2023-02-07,26500,26500,25000,25300,148600,VFS
2023-02-08,25000,30000,25000,28600,144200,VFS
2023-02-09,28000,28900,28000,28700,96500,VFS
2023-02-10,28500,28800,28500,28500,77800,VFS
2023-02-13,28500,28500,27000,27700,61700,VFS
2023-02-14,27000,30000,27000,27900,113900,VFS
2023-02-15,27900,27900,27200,27200,69100,VFS
2023-02-16,27000,27000,24500,24500,57800,VFS
2023-02-17,24500,25100,24500,25100,35200,VFS
2023-02-20,25000,25400,25000,25400,24000,VFS
2023-02-21,25400,25400,24900,25000,63400,VFS
2023-02-22,25000,25000,24800,25000,15600,VFS
2023-02-23,25000,25000,24700,24700,41100,VFS
2023-02-24,24700,24900,24500,24500,103100,VFS
2023-02-27,24500,24500,23800,24400,19500,VFS
2023-02-28,24200,25000,24200,24300,65500,VFS
2023-03-01,24300,24400,24200,24400,19800,VFS
2023-03-02,24400,24900,24300,24300,21300,VFS
2023-03-03,24300,24400,24100,24100,25000,VFS
2023-03-06,24300,24400,23500,23900,22000,VFS
2023-03-07,24200,24500,23500,24500,104200,VFS
2023-03-08,24300,25000,24300,24400,11500,VFS
2023-03-09,24300,24800,24300,24400,8700,VFS
2023-03-10,24300,24900,24300,24500,18300,VFS
2023-03-13,24500,24500,23800,23900,7500,VFS
2023-03-14,24300,27500,23900,23900,200500,VFS
2023-03-15,23900,26400,23900,26000,126600,VFS
2023-03-16,24000,24900,24000,24000,46400,VFS
