time,open,high,low,close,volume,ticker
2023-01-03,5870,5870,5610,5830,1800,VID
2023-01-04,5610,5630,5540,5540,10100,VID
2023-01-05,5800,5800,5470,5770,2600,VID
2023-01-10,5800,5800,5520,5520,1300,VID
2023-01-11,5450,5670,5440,5520,6600,VID
2023-01-12,5430,5520,5430,5470,900,VID
2023-01-13,5680,5680,5680,5680,100,VID
2023-01-16,5680,5680,5450,5460,4500,VID
2023-01-17,5580,5650,5430,5430,4600,VID
2023-01-18,5650,5650,5430,5590,6700,VID
2023-01-19,5590,5690,5440,5520,56200,VID
2023-01-27,5520,5520,5480,5490,42400,VID
2023-01-30,5580,5580,5520,5560,3400,VID
2023-01-31,5550,5560,5520,5540,2400,VID
2023-02-01,5520,5540,5500,5500,14700,VID
2023-02-02,5430,5440,5400,5410,17000,VID
2023-02-03,5400,5490,5400,5430,7700,VID
2023-02-06,5430,5470,5430,5470,300,VID
2023-02-07,5470,5510,5250,5510,15900,VID
2023-02-08,5560,5560,5330,5560,7100,VID
2023-02-09,5550,5570,5340,5570,7100,VID
2023-02-10,5580,5590,5340,5340,11200,VID
2023-02-13,5340,5500,5340,5500,200,VID
2023-02-14,5340,5460,5310,5460,400,VID
2023-02-15,5160,5440,5150,5430,3400,VID
2023-02-16,5470,5520,5420,5470,17500,VID
2023-02-17,5470,5470,5430,5430,7400,VID
2023-02-20,5410,5500,5410,5500,4100,VID
2023-02-21,5500,5560,5440,5440,25900,VID
2023-02-22,5430,5430,5430,5430,2500,VID
2023-02-23,5430,5430,5430,5430,400,VID
2023-02-24,5470,5470,5350,5350,1900,VID
2023-02-27,5350,5500,5240,5390,11200,VID
2023-02-28,5500,5500,5260,5260,1500,VID
2023-03-01,5250,5300,5250,5300,10600,VID
2023-03-02,4980,5300,4930,5300,2200,VID
2023-03-03,5240,5240,5240,5240,900,VID
2023-03-06,5240,5380,5240,5240,3700,VID
2023-03-07,4970,5140,4970,5010,53300,VID
2023-03-08,5310,5320,5020,5280,500,VID
2023-03-09,5060,5220,5060,5110,10800,VID
2023-03-10,4930,5210,4930,4970,15400,VID
2023-03-13,4970,5110,4970,5100,9500,VID
2023-03-14,5100,5120,4890,5050,15700,VID
2023-03-15,5050,5120,4930,5000,18800,VID
2023-03-16,5000,5000,4890,4950,3000,VID
2023-03-17,5010,5010,4890,4890,600,VID
2023-03-20,5000,5000,4850,4860,3600,VID
2023-03-21,5010,5010,4790,4790,1300,VID
2023-03-22,4820,4830,4820,4830,500,VID
2023-03-23,4970,4970,4900,4900,500,VID
2023-03-24,4960,4960,4830,4910,1100,VID
2023-03-27,4780,4780,4780,4780,200,VID
2023-03-28,4930,4940,4770,4770,400,VID
2023-03-29,4880,4880,4780,4880,1000,VID
2023-03-30,4780,4780,4780,4780,400,VID
2023-03-31,4670,4670,4670,4670,100,VID
2023-04-03,4620,4630,4600,4610,3300,VID
2023-04-04,4560,4740,4560,4740,6100,VID
2023-04-05,4740,4770,4740,4770,900,VID
2023-04-06,4770,4770,4770,4770,11300,VID
2023-04-07,4870,4940,4830,4880,11900,VID
2023-04-07,4870,4940,4830,4830,4200,VID
2023-04-10,4880,4890,4650,4880,51000,VID
2023-04-11,4780,4830,4710,4830,65000,VID
2023-04-12,4830,4830,4780,4830,33900,VID
2023-04-13,4780,4860,4780,4860,10200,VID
2023-04-14,4770,4880,4600,4600,121600,VID
2023-04-17,4780,4830,4580,4830,47500,VID
2023-04-18,4830,4830,4830,4830,3400,VID
2023-04-19,4820,4880,4700,4700,13600,VID
2023-04-20,4880,4920,4770,4920,29100,VID
2023-04-21,4890,4890,4740,4740,5200,VID
2023-04-24,4950,4970,4830,4950,6100,VID
2023-04-25,5150,5150,4720,4720,14500,VID
2023-04-26,4780,4780,4660,4740,3800,VID
2023-04-27,4880,4920,4880,4920,5000,VID
2023-04-28,4880,4920,4740,4740,2800,VID
2023-05-04,4700,4960,4700,4780,2400,VID
2023-05-05,4880,4880,4650,4760,14000,VID
2023-05-08,4830,4840,4730,4730,28700,VID
2023-05-09,4780,4830,4710,4710,5900,VID
2023-05-10,4690,4770,4690,4710,25000,VID
2023-05-11,4790,4840,4730,4840,11200,VID
2023-05-12,4900,4910,4780,4840,13600,VID
2023-05-15,4840,4880,4840,4860,4600,VID
2023-05-16,4860,4860,4750,4750,1400,VID
2023-05-17,4860,4860,4760,4760,12600,VID
2023-05-18,4850,4850,4830,4830,300,VID
2023-05-19,4840,4840,4710,4740,14800,VID
2023-05-22,4750,4750,4750,4750,100,VID
2023-05-23,4780,4790,4780,4780,6300,VID
2023-05-24,4710,4830,4710,4780,5900,VID
2023-05-25,4820,4820,4720,4720,9800,VID
2023-05-26,4780,4830,4780,4830,900,VID
2023-05-29,4830,5110,4830,4880,63200,VID
2023-05-30,4890,5060,4880,4910,74800,VID
2023-05-31,4970,5060,4940,5060,23800,VID
2023-06-01,5060,5410,5060,5410,47700,VID
2023-06-02,5410,5410,5030,5360,74700,VID
2023-06-05,5360,5360,5180,5340,8300,VID
2023-06-06,5340,5340,5070,5220,51600,VID
2023-06-07,5320,5320,5230,5230,16800,VID
2023-06-08,5500,5500,5070,5330,25200,VID
2023-06-09,4990,5240,4970,5240,14200,VID
2023-06-12,5240,5240,5030,5200,30400,VID
2023-06-13,5150,5410,5120,5350,117200,VID
2023-06-14,5350,5470,5350,5350,21300,VID
2023-06-15,5430,5510,5360,5460,32400,VID
2023-06-16,5470,5550,5460,5460,34300,VID
2023-06-19,5150,5160,5110,5160,9400,VID
2023-06-20,5160,5320,5160,5320,8700,VID
2023-06-21,5320,5400,5200,5200,11500,VID
2023-06-22,5210,5260,5150,5260,28000,VID
2023-06-23,5190,5520,5190,5500,8200,VID
2023-06-26,5420,5420,5340,5340,600,VID
2023-06-27,5240,5430,5240,5240,16300,VID
2023-06-28,5240,5490,5160,5430,9600,VID
2023-06-29,5150,5340,5150,5290,3600,VID
2023-06-30,5230,5340,5230,5290,14700,VID
2023-07-04,5290,5350,5120,5350,6900,VID
2023-07-06,5220,5340,5220,5340,1100,VID
2023-07-07,5240,5340,5240,5340,400,VID
2023-07-10,5340,5340,5340,5340,2400,VID
2023-07-11,5340,5380,5240,5340,8200,VID
2023-07-12,5240,5420,5240,5410,14900,VID
2023-07-13,5410,5610,5380,5580,13600,VID
2023-07-14,5380,5570,5380,5520,1300,VID
2023-07-17,5780,5780,5160,5500,2600,VID
2023-07-18,5340,5430,5340,5340,17800,VID
2023-07-19,5490,5490,5290,5290,14300,VID
2023-07-20,5340,5340,5340,5340,400,VID
2023-07-21,5340,5340,5180,5340,7300,VID
2023-07-24,5340,5380,5340,5340,3100,VID
2023-07-25,5300,5340,5240,5340,7400,VID
2023-07-26,5340,5340,5240,5340,25000,VID
2023-07-27,5340,5340,5260,5330,6600,VID
2023-07-28,5330,5340,5290,5290,16000,VID
2023-07-31,5290,5380,5290,5330,4100,VID
2023-08-01,5330,5330,5240,5240,17600,VID
2023-08-02,5340,5340,5240,5260,12100,VID
2023-08-03,5240,5420,5230,5250,12400,VID
2023-08-04,5340,5340,5200,5280,32200,VID
2023-08-07,5240,5290,5210,5290,48200,VID
2023-08-08,5510,5510,5240,5290,61600,VID
2023-08-09,5240,5310,5240,5280,18300,VID
2023-08-10,5280,5330,5240,5280,76100,VID
2023-08-11,5270,5330,5250,5330,52500,VID
2023-08-14,5340,5610,5270,5610,176700,VID
2023-08-15,5700,6000,5630,6000,287200,VID
2023-08-16,6010,6120,5580,5960,83700,VID
2023-08-17,5840,5890,5610,5700,22400,VID
2023-08-18,5610,5720,5550,5690,38600,VID
2023-08-21,5660,5700,5380,5680,26000,VID
2023-08-22,5530,5680,5460,5550,45300,VID
2023-08-23,5520,5660,5470,5580,52600,VID
2023-08-24,5620,5630,5470,5580,41100,VID
2023-08-25,5580,5580,5450,5550,21200,VID
2023-08-28,5570,5570,5460,5470,61700,VID
2023-08-29,5550,5550,5460,5510,53200,VID
2023-08-30,5520,5520,5480,5520,75700,VID
2023-08-31,5600,5600,5520,5570,52400,VID
2023-09-05,5590,5740,5590,5700,105100,VID
2023-09-06,5540,5780,5530,5750,367600,VID
2023-09-07,5760,5990,5760,5810,48100,VID
2023-09-08,5810,5900,5700,5810,59900,VID
2023-09-11,5720,5800,5690,5690,78000,VID
2023-09-12,5700,5700,5590,5650,97600,VID
2023-09-13,5610,5810,5610,5780,31400,VID
