time,open,high,low,close,volume,ticker
2023-01-05,11710,11710,11620,11620,1100,VIF
2023-01-06,11620,12750,11620,12750,600,VIF
2023-01-10,13980,13980,13980,13980,100,VIF
2023-01-11,12750,12750,12750,12750,400,VIF
2023-01-30,12750,13790,12750,13790,700,VIF
2023-02-01,13790,13790,13790,13790,400,VIF
2023-02-02,13790,13790,13790,13790,200,VIF
2023-02-03,13790,13790,13790,13790,1500,VIF
2023-02-06,13890,13890,13890,13890,100,VIF
2023-02-07,13890,13890,13890,13890,200,VIF
2023-02-16,13890,13890,13890,13890,100,VIF
2023-02-23,12750,12850,12750,12850,300,VIF
2023-03-03,14070,14070,14070,14070,100,VIF
2023-03-07,12750,12750,12750,12750,100,VIF
2023-03-09,12750,12750,12750,12750,200,VIF
2023-03-20,12750,12750,11520,11520,1600,VIF
2023-03-21,12660,12660,12660,12660,100,VIF
2023-03-24,12660,12660,12660,12660,900,VIF
2023-03-27,12280,12280,12280,12280,500,VIF
2023-03-29,12280,12280,11810,11810,1100,VIF
2023-03-30,11810,11810,11810,11810,300,VIF
2023-03-31,11710,11710,11710,11710,100,VIF
2023-04-07,10770,10770,10770,10770,1000,VIF
2023-04-10,11520,11620,11520,11620,3100,VIF
2023-04-13,11810,11810,11810,11810,600,VIF
2023-04-14,11810,11810,11810,11810,1300,VIF
2023-04-17,11900,11900,11900,11900,100,VIF
2023-04-18,12940,12940,12940,12940,100,VIF
2023-04-19,12370,12370,12370,12370,2000,VIF
2023-04-20,12750,12750,12750,12750,400,VIF
2023-04-21,12370,13030,12370,13030,200,VIF
2023-04-24,12370,13030,12370,13030,200,VIF
2023-04-25,12560,12560,12560,12560,100,VIF
2023-05-04,13030,13030,12850,12850,800,VIF
2023-05-05,13030,13030,13030,13030,100,VIF
2023-05-08,13320,13320,13320,13320,200,VIF
2023-05-10,13130,13220,13130,13220,2600,VIF
2023-05-11,13320,13320,13320,13320,1000,VIF
2023-05-12,13220,13410,13220,13410,800,VIF
2023-05-15,14070,14070,14070,14070,800,VIF
2023-05-16,13700,14170,13700,14170,5300,VIF
2023-05-17,14830,14830,14550,14550,200,VIF
2023-05-18,14360,14360,14360,14360,500,VIF
2023-05-19,14260,14260,14260,14260,100,VIF
2023-05-22,14070,14260,14070,14260,300,VIF
2023-05-23,14170,14170,13220,14170,1000,VIF
2023-05-25,14070,14070,14070,14070,300,VIF
2023-05-26,14170,14170,14170,14170,100,VIF
2023-05-30,13600,13600,13600,13600,300,VIF
2023-06-05,13700,13700,13700,13700,100,VIF
2023-06-08,13130,14070,13130,14070,200,VIF
2023-06-13,14100,14100,14100,14100,500,VIF
2023-06-15,14300,14300,14000,14000,200,VIF
2023-06-22,13600,14200,13600,14100,4100,VIF
2023-06-28,15400,15500,15400,15500,5033600,VIF
2023-06-29,17000,17000,17000,17000,22200,VIF
2023-06-30,18700,18700,15400,17500,16400,VIF
2023-07-03,16100,16100,15800,15800,4700,VIF
2023-07-04,14500,15700,14500,15600,3800,VIF
2023-07-05,15600,15600,15600,15600,100,VIF
2023-07-06,15000,15000,14800,14800,1500,VIF
2023-07-07,14800,15000,14100,15000,2100,VIF
2023-07-10,14200,14200,14000,14200,1000,VIF
2023-07-11,14200,14200,14000,14000,300,VIF
2023-07-12,14100,14500,14100,14500,700,VIF
2023-07-13,14800,14800,14800,14800,100,VIF
2023-07-14,15000,15200,15000,15200,600,VIF
2023-07-17,15200,15200,15200,15200,500,VIF
2023-07-19,15500,15500,14700,14700,600,VIF
2023-07-20,13700,15000,13700,15000,200,VIF
2023-07-21,15000,15000,15000,15000,1800,VIF
2023-07-24,14200,14200,14000,14000,2500,VIF
2023-07-25,14000,14500,14000,14500,2500,VIF
2023-07-26,14500,15400,14300,15400,10400,VIF
2023-07-27,15300,15500,15300,15500,1100,VIF
2023-07-28,14500,15600,14200,14300,9600,VIF
2023-07-31,15400,15400,15200,15200,500,VIF
2023-08-01,15200,15200,14500,14500,1700,VIF
2023-08-02,14500,15200,14500,15000,2400,VIF
2023-08-03,15000,15300,14600,15300,2600,VIF
2023-08-04,15500,15500,15000,15000,500,VIF
2023-08-07,15000,15000,15000,15000,1000,VIF
2023-08-08,15600,16500,15300,16500,30000,VIF
2023-08-09,17300,18100,16500,18000,40100,VIF
2023-08-10,17900,18000,17100,18000,5300,VIF
2023-08-11,16200,17900,16200,17900,26300,VIF
2023-08-14,17900,18100,17700,18000,24300,VIF
2023-08-15,18100,18300,18000,18200,16900,VIF
2023-08-16,18200,18200,18100,18100,16500,VIF
2023-08-17,18100,18300,18000,18100,7400,VIF
2023-08-18,18100,18100,17500,17900,11000,VIF
2023-08-21,17900,17900,17800,17800,4400,VIF
2023-08-23,17800,17800,17500,17500,1800,VIF
2023-08-24,17500,18000,17000,17800,3700,VIF
2023-08-25,18000,18000,17500,17900,9900,VIF
2023-08-28,18000,18000,18000,18000,1000,VIF
2023-08-29,18000,18000,18000,18000,500,VIF
2023-08-30,18000,18000,17800,17900,4500,VIF
2023-08-31,17900,17900,17900,17900,300,VIF
2023-09-05,18200,18200,17800,17800,1200,VIF
2023-09-06,17700,17700,17700,17700,400,VIF
2023-09-07,17800,17800,17700,17700,1000,VIF
2023-09-08,17700,17700,17600,17600,500,VIF
2023-09-11,17600,17700,17600,17600,1100,VIF
2023-09-12,17600,17600,17600,17600,700,VIF
2023-09-13,17800,17800,17800,17800,300,VIF
2023-09-14,17600,17600,17600,17600,300,VIF
2023-09-15,17900,19300,17900,19000,19800,VIF
2023-09-18,19500,19500,18400,18500,7000,VIF
