time,open,high,low,close,volume,ticker
2023-01-18,18040,18040,18040,18040,4000,VIN
2023-02-02,17590,17590,17590,17590,300,VIN
2023-02-03,18040,18040,18040,18040,100,VIN
2023-02-06,18490,18490,18490,18490,100,VIN
2023-02-09,18040,18040,18040,18040,2100,VIN
2023-02-10,18040,18040,18040,18040,2200,VIN
2023-02-14,17590,17590,17590,17590,100,VIN
2023-02-20,17590,17590,17590,17590,1200,VIN
2023-02-23,18490,18490,18490,18490,1000,VIN
2023-02-24,18040,18040,18040,18040,3000,VIN
2023-02-27,18040,18220,18040,18040,600,VIN
2023-03-14,17140,17140,17140,17140,5000,VIN
2023-03-15,17140,17140,17140,17140,1300,VIN
2023-03-16,17140,17140,17140,17140,100,VIN
2023-03-27,15340,15340,15340,15340,300,VIN
2023-03-30,15340,15340,15340,15340,6000,VIN
2023-04-11,14700,15340,14700,15340,1700,VIN
2023-05-18,14700,14700,14700,14700,100,VIN
2023-05-23,15610,16690,15610,16690,600,VIN
2023-06-05,17140,17770,17140,17140,2800,VIN
2023-07-13,23900,23900,23900,23900,27400,VIN
2023-07-17,20400,20400,20400,20400,500,VIN
2023-07-26,19500,19500,19500,19500,100,VIN
2023-07-27,19400,19400,19400,19400,400,VIN
2023-07-28,19400,19400,19400,19400,100,VIN
2023-07-31,16700,16700,16700,16700,400,VIN
2023-08-01,16300,16300,16300,16300,2600,VIN
2023-08-03,16400,18700,16400,16500,1500,VIN
2023-08-07,19400,19400,19400,19400,1000,VIN
2023-08-08,17400,17400,17400,17400,900,VIN
2023-08-10,15100,19800,15100,19800,1600,VIN
2023-08-11,17000,17000,17000,17000,300,VIN
2023-08-14,16900,19400,16900,19400,1400,VIN
2023-08-15,20000,20000,19400,19400,300,VIN
2023-08-16,18300,18300,18000,18000,800,VIN
2023-08-18,20000,20000,20000,20000,800,VIN
2023-08-24,19400,19400,19000,19000,1500,VIN
2023-08-29,19200,19200,16500,16500,2700,VIN
2023-08-30,19000,19000,19000,19000,1100,VIN
2023-08-31,20900,20900,20900,20900,200,VIN
2023-09-05,18100,18100,18100,18100,100,VIN
2023-09-06,18100,18100,17000,17000,1200,VIN
2023-09-08,19300,19300,19200,19200,500,VIN
2023-09-11,20900,20900,20700,20700,1800,VIN
2023-09-12,19400,19400,19100,19200,800,VIN
2023-09-13,18100,18500,18100,18500,600,VIN
2023-09-14,17200,20100,17200,20100,1000,VIN
2023-09-15,20000,20000,19900,19900,200,VIN
2023-09-18,19900,20900,19900,19900,900,VIN
2023-09-19,20500,20500,20500,20500,300,VIN
2023-09-20,18600,18600,18600,18600,600,VIN
2023-09-21,18800,18800,18800,18800,100,VIN
2023-09-22,18700,20400,18700,20400,800,VIN
2023-09-26,19800,20300,19800,20300,200,VIN
2023-09-27,18500,18500,17600,17600,400,VIN
2023-09-28,17900,19900,17900,19900,800,VIN
2023-09-29,20000,20900,20000,20900,200,VIN
2023-10-02,18900,20600,18400,18400,2000,VIN
2023-10-03,18400,18500,18400,18500,1100,VIN
2023-10-04,18600,18600,18600,18600,200,VIN
2023-10-05,18000,19900,17400,19900,1700,VIN
2023-10-06,19400,19400,18500,19400,2100,VIN
2023-10-09,19400,19400,18600,19000,2700,VIN
2023-10-10,18100,20900,18100,20900,2900,VIN
2023-10-11,18500,18500,18500,18500,100,VIN
2023-10-12,18300,20400,18300,20400,900,VIN
