time,open,high,low,close,volume,ticker
2023-01-03,7730,7870,7670,7750,151800,VIP
2023-01-04,7750,8290,7650,8290,1179100,VIP
2023-01-05,8010,8460,8010,8230,366800,VIP
2023-01-06,8230,8230,7660,7660,400800,VIP
2023-01-09,7650,7730,7200,7300,482300,VIP
2023-01-10,7470,7470,7330,7360,106300,VIP
2023-01-11,7370,7470,7290,7360,151400,VIP
2023-01-12,7540,7540,7300,7330,61700,VIP
2023-01-13,7340,7470,7330,7380,134100,VIP
2023-01-16,7300,7830,7300,7700,251500,VIP
2023-01-17,7850,7850,7700,7710,209000,VIP
2023-01-18,7740,7840,7710,7830,192600,VIP
2023-01-19,7830,8360,7780,8320,500300,VIP
2023-01-27,8900,8900,8820,8900,1087300,VIP
2023-01-30,9490,9490,9000,9180,1578500,VIP
2023-01-31,9180,9310,9000,9220,731700,VIP
2023-02-01,9540,9540,8580,8680,879000,VIP
2023-02-02,8680,8820,8180,8660,724900,VIP
2023-02-03,8850,8850,8630,8660,496900,VIP
2023-02-06,8680,9220,8680,9180,465600,VIP
2023-02-07,9360,9400,8930,8950,757200,VIP
2023-02-08,8960,8990,8830,8950,295200,VIP
2023-02-09,8950,9360,8840,9130,427300,VIP
2023-02-10,9130,9130,8960,9000,238600,VIP
2023-02-13,8960,8960,8490,8640,534700,VIP
2023-02-14,8610,8900,8610,8820,317700,VIP
2023-02-15,8910,9220,8820,9180,565100,VIP
2023-02-16,9360,9810,9310,9760,2681100,VIP
2023-02-17,9760,10170,9540,9900,512400,VIP
2023-02-20,9900,10120,9850,10120,949800,VIP
2023-02-21,10120,10170,9670,9810,1047700,VIP
2023-02-22,9540,10170,9540,9670,1022700,VIP
2023-02-23,9670,9810,9090,9760,777300,VIP
2023-02-24,9670,9760,9270,9270,365700,VIP
2023-02-27,9090,9360,8980,9090,716800,VIP
2023-02-28,9180,9310,9090,9130,375500,VIP
2023-03-01,9090,9760,9090,9760,956700,VIP
2023-03-02,10080,10170,9630,9810,949900,VIP
2023-03-03,9810,10080,9760,9850,481700,VIP
2023-03-06,9900,10350,9850,9850,1382400,VIP
2023-03-07,9940,10030,9810,9940,334300,VIP
2023-03-08,9760,10210,9760,10210,640100,VIP
2023-03-09,10300,10300,10080,10260,404400,VIP
2023-03-10,10260,10260,9990,10030,264700,VIP
2023-03-13,9850,10030,9720,9900,588200,VIP
2023-03-14,9900,9900,9400,9400,460200,VIP
2023-03-15,9720,9940,9630,9900,400700,VIP
2023-03-16,9580,9810,9540,9540,209700,VIP
2023-03-17,9760,9760,9450,9490,194800,VIP
2023-03-20,9490,9540,9130,9130,446800,VIP
2023-03-21,9360,9450,9130,9450,249400,VIP
2023-03-22,9670,9810,9540,9720,440600,VIP
2023-03-23,9630,9850,9630,9810,214100,VIP
2023-03-24,9850,10030,9720,9810,284300,VIP
2023-03-27,9940,9940,9760,9810,237500,VIP
2023-03-28,9850,9900,9580,9670,432700,VIP
2023-03-29,9670,9810,9580,9760,405100,VIP
2023-03-30,9900,10120,9810,9850,279000,VIP
2023-03-31,9760,9900,9760,9760,72100,VIP
2023-04-03,9990,10030,9720,9850,183000,VIP
2023-04-04,9850,10480,9850,10480,2028800,VIP
2023-04-05,10620,11020,10530,10790,1405900,VIP
2023-04-06,10880,11060,10530,10620,987200,VIP
2023-04-07,10790,11420,10710,11150,1112700,VIP
2023-04-10,11420,11420,11020,11060,694900,VIP
2023-04-11,11110,11510,11060,11330,936900,VIP
2023-04-12,11420,11780,11330,11330,668500,VIP
2023-04-13,11380,11420,11150,11240,675700,VIP
2023-04-14,11150,11290,10390,10390,2053600,VIP
2023-04-17,10170,10390,10080,10170,445100,VIP
2023-04-18,10570,10570,10210,10300,345000,VIP
2023-04-19,10350,10530,10260,10260,421000,VIP
2023-04-20,10390,10660,9580,9900,1521300,VIP
2023-04-21,9990,10260,9900,10080,852600,VIP
2023-04-24,10440,10480,10170,10170,616400,VIP
2023-04-25,10210,10620,10170,10210,617200,VIP
2023-04-26,10300,10300,10030,10120,459000,VIP
2023-04-27,10260,10480,10170,10390,695400,VIP
2023-04-28,10480,10660,10300,10350,496300,VIP
2023-05-04,10480,10660,10350,10440,942400,VIP
2023-05-05,10570,10710,10480,10530,549100,VIP
2023-05-08,10660,10790,10570,10660,965500,VIP
2023-05-09,10930,10930,10750,10790,715100,VIP
2023-05-10,10790,10880,10660,10660,857700,VIP
2023-05-11,10710,10750,10660,10750,708200,VIP
2023-05-12,10750,11150,10750,10750,1387300,VIP
2023-05-15,10800,10800,10300,10300,1424200,VIP
2023-05-16,10350,10450,10250,10350,475100,VIP
2023-05-17,10400,10450,10200,10200,649100,VIP
2023-05-18,10150,10300,10150,10200,384800,VIP
2023-05-19,10300,10450,10150,10250,438200,VIP
2023-05-22,10250,10300,10200,10250,388700,VIP
2023-05-23,10300,10400,10200,10250,414900,VIP
2023-05-24,10250,10300,10050,10100,734800,VIP
2023-05-25,10100,10150,9960,9970,938600,VIP
2023-05-26,10000,10000,9960,9960,465800,VIP
2023-05-29,9960,10200,9960,10150,473300,VIP
2023-05-30,10300,10300,10200,10300,727100,VIP
2023-05-31,10250,10650,10250,10450,1096300,VIP
2023-06-01,10600,10700,10300,10400,786400,VIP
2023-06-02,10650,10650,10400,10650,1271900,VIP
2023-06-05,10750,11200,10700,10900,2060200,VIP
2023-06-06,10900,11000,10700,10800,671500,VIP
2023-06-07,10800,10950,10700,10750,771800,VIP
2023-06-08,10800,10950,10600,10600,989300,VIP
2023-06-09,10650,10650,10350,10450,723700,VIP
2023-06-12,10400,10600,10300,10500,591400,VIP
2023-06-13,10700,10700,10400,10400,435800,VIP
2023-06-14,10400,10550,10200,10200,613900,VIP
2023-06-15,10300,10450,10050,10450,446400,VIP
2023-06-16,10550,10550,10300,10300,448800,VIP
2023-06-19,10300,10350,10200,10300,304500,VIP
2023-06-20,10300,10350,10200,10250,268900,VIP
2023-06-21,10400,10400,10250,10300,497400,VIP
2023-06-22,10400,10550,10350,10550,593400,VIP
2023-06-23,10650,10700,10500,10500,661900,VIP
2023-06-26,10500,10550,10300,10500,425700,VIP
2023-06-27,10500,11200,10500,11150,2808300,VIP
2023-06-28,11050,11350,11050,11150,1045900,VIP
2023-06-29,11300,11450,10850,10850,1470900,VIP
2023-06-30,10900,11100,10800,10950,738800,VIP
2023-07-03,11250,11250,10850,11000,393700,VIP
2023-07-04,11100,11150,11000,11150,456900,VIP
2023-07-05,11400,11400,11050,11200,859100,VIP
2023-07-06,11300,11300,11000,11100,481700,VIP
2023-07-07,11050,11300,10900,11300,433200,VIP
2023-07-10,11700,11700,11250,11300,525400,VIP
2023-07-11,11300,11350,11200,11200,536400,VIP
2023-07-12,11350,11700,11200,11450,1080500,VIP
2023-07-13,11500,11600,11350,11400,365000,VIP
2023-07-14,11400,11550,11300,11450,605100,VIP
2023-07-17,11500,11550,11350,11500,689000,VIP
2023-07-18,11500,11550,11350,11450,382300,VIP
2023-07-19,11600,12250,11600,11950,2521300,VIP
2023-07-20,11950,12000,11750,11900,869100,VIP
2023-07-21,12000,12050,11550,11700,1221600,VIP
2023-07-24,11750,11850,11600,11850,933100,VIP
2023-07-25,12000,12050,11800,11950,591800,VIP
2023-07-26,11900,11950,11550,11700,612000,VIP
2023-07-27,11700,12500,11700,12500,2862400,VIP
2023-07-28,12750,12750,12200,12350,1034700,VIP
2023-07-31,12350,12400,12050,12200,1029700,VIP
2023-08-01,12350,12350,12000,12000,971500,VIP
