time,open,high,low,close,volume,ticker
2023-01-03,32200,32200,28980,32200,20800,VLA
2023-01-04,35430,35430,35430,35430,400,VLA
2023-01-05,31880,35430,31880,35430,1000,VLA
2023-01-06,38970,38970,38970,38970,200,VLA
2023-01-10,38970,38970,38970,38970,200,VLA
2023-01-17,35100,35100,35100,35100,500,VLA
2023-01-18,37360,37360,37360,37360,100,VLA
2023-01-30,41090,41090,41090,41090,100,VLA
2023-02-07,41090,41090,41090,41090,100,VLA
2023-03-01,38650,38650,38650,38650,100,VLA
2023-03-29,34780,34780,34780,34780,100,VLA
2023-04-06,31300,31300,31300,31300,200,VLA
2023-04-10,28210,28210,28210,28210,200,VLA
2023-04-17,25440,25440,25440,25440,400,VLA
2023-04-18,22930,27950,22930,27950,600,VLA
2023-04-19,30720,30720,30720,30720,100,VLA
2023-04-20,33750,33750,33750,33750,600,VLA
2023-04-24,37100,37100,37100,37100,300,VLA
2023-04-25,34140,34140,33430,33430,1200,VLA
2023-04-26,33430,33490,33430,33490,900,VLA
2023-04-27,32850,33240,30270,32200,2700,VLA
2023-04-28,33170,33490,33170,33490,300,VLA
2023-05-04,30210,30210,30210,30210,300,VLA
2023-05-05,33110,33110,33110,33110,100,VLA
2023-05-08,34460,36390,34460,36390,800,VLA
2023-05-09,32850,32850,32850,32850,100,VLA
2023-05-10,29560,35810,29560,35810,400,VLA
2023-05-11,32270,34140,32270,32270,400,VLA
2023-05-15,31050,31050,31050,31050,100,VLA
2023-05-17,33430,33430,33430,33430,100,VLA
2023-05-18,30340,30340,30270,30270,500,VLA
2023-05-22,29890,29890,29890,29890,300,VLA
2023-05-23,27120,27120,26920,26920,600,VLA
2023-05-25,29240,29240,29240,29240,600,VLA
2023-05-26,26470,29240,26340,26340,2700,VLA
2023-05-29,26340,28920,26340,28920,800,VLA
2023-05-30,28920,28920,28920,28920,100,VLA
2023-06-01,31560,31560,31560,31560,100,VLA
2023-06-05,28730,34010,28730,34010,200,VLA
2023-06-06,30660,30660,30660,30660,500,VLA
2023-06-09,27630,27630,27630,27630,1100,VLA
2023-06-12,24930,24930,24930,24930,400,VLA
2023-06-13,24990,25060,22930,24860,6700,VLA
2023-06-14,26860,26860,26860,26860,100,VLA
2023-06-16,24480,24480,24220,24220,500,VLA
2023-06-19,24220,24220,24220,24220,100,VLA
2023-06-20,21830,21830,21830,21830,700,VLA
2023-06-22,23700,23700,21830,23320,300,VLA
2023-06-26,21000,21000,21000,21000,500,VLA
2023-06-27,21260,21260,21260,21260,200,VLA
2023-06-28,20680,20680,20680,20680,100,VLA
2023-06-29,21130,21130,21130,21130,200,VLA
2023-06-30,21130,21130,20610,20610,1700,VLA
2023-07-03,20610,20610,20610,20610,200,VLA
2023-07-05,20610,20610,20610,20610,100,VLA
2023-07-06,18680,20550,18550,18680,1300,VLA
2023-07-07,18160,18490,16940,16940,1200,VLA
2023-07-10,18550,18550,18550,18550,100,VLA
2023-07-13,18550,18550,18550,18550,800,VLA
2023-07-17,18030,18490,16750,18490,3400,VLA
2023-07-21,19260,19260,19260,19260,100,VLA
2023-07-25,17390,17390,17390,17390,200,VLA
2023-07-26,17390,18610,17390,18610,600,VLA
2023-07-27,18550,18870,16810,18870,900,VLA
2023-07-28,20740,20740,20740,20740,100,VLA
2023-08-03,18680,19260,18680,18680,700,VLA
2023-08-04,16880,18420,16810,18290,1400,VLA
2023-08-08,16550,18030,16490,16490,4100,VLA
2023-08-10,16100,16100,16100,16100,100,VLA
2023-08-11,16750,16750,16750,16750,400,VLA
2023-08-14,18420,18420,17390,18420,2100,VLA
2023-08-15,19000,20220,19000,20220,1900,VLA
2023-08-16,22220,22220,22220,22220,700,VLA
2023-08-17,24350,24350,24350,24350,100,VLA
2023-08-18,25760,25760,25760,25760,100,VLA
2023-08-21,23190,23190,23190,23190,100,VLA
2023-08-22,21450,21450,21130,21130,400,VLA
2023-08-23,19320,23190,19320,23190,900,VLA
2023-08-24,23250,23250,21130,23190,2400,VLA
2023-08-25,22540,22540,21320,21320,200,VLA
2023-08-28,21320,23440,21320,21900,4000,VLA
2023-08-29,21900,24020,21900,22350,1900,VLA
2023-08-30,24600,24600,24600,24600,3100,VLA
2023-08-31,27000,27000,25000,25800,2000,VLA
2023-09-05,27800,27800,27000,27800,700,VLA
2023-09-06,27900,27900,27900,27900,200,VLA
2023-09-07,25200,27900,25200,27000,1400,VLA
2023-09-08,26000,26000,26000,26000,100,VLA
2023-09-11,23400,24000,23400,23400,1800,VLA
2023-09-13,24500,24500,21100,21100,600,VLA
2023-09-14,19000,19000,19000,19000,300,VLA
2023-09-15,17200,20900,17200,20900,1600,VLA
2023-09-18,19000,22800,19000,22800,200,VLA
2023-09-19,22800,22800,21800,21800,400,VLA
2023-09-21,22500,22500,22500,22500,200,VLA
2023-09-26,21900,21900,21900,21900,100,VLA
2023-09-27,20200,20200,20200,20200,500,VLA
2023-09-29,20200,20200,20200,20200,300,VLA
2023-10-06,22200,22200,18300,18300,700,VLA
2023-10-09,18400,18400,18300,18300,700,VLA
2023-10-13,18300,18300,18300,18300,100,VLA
