time,open,high,low,close,volume,ticker
2023-01-05,4200,4200,4200,4200,1100,VMG
2023-01-06,4200,4200,4200,4200,1000,VMG
2023-01-30,4200,4300,4200,4300,3100,VMG
2023-02-01,4300,4600,4300,4600,1400,VMG
2023-02-02,4300,4300,4300,4300,1000,VMG
2023-02-06,3800,4600,3800,4600,14400,VMG
2023-02-07,4600,4600,4600,4600,300,VMG
2023-02-08,4000,4300,4000,4000,14200,VMG
2023-02-09,4200,4200,4100,4100,1400,VMG
2023-02-10,4500,4500,4500,4500,2000,VMG
2023-02-13,4000,4400,4000,4400,7300,VMG
2023-02-17,4200,4200,4200,4200,2000,VMG
2023-02-20,3800,4200,3800,4200,1300,VMG
2023-02-23,3900,3900,3900,3900,300,VMG
2023-02-24,4000,4000,4000,4000,600,VMG
2023-02-27,4500,4500,4500,4500,100,VMG
2023-03-01,4500,4500,4500,4500,1600,VMG
2023-03-03,4500,5100,4500,5100,36000,VMG
2023-03-06,5300,5300,5300,5300,400,VMG
2023-03-07,5300,5300,5300,5300,100,VMG
2023-03-08,5300,5300,4600,4600,5000,VMG
2023-03-09,4600,4600,4600,4600,3200,VMG
2023-03-10,4400,4400,4400,4400,400,VMG
2023-03-14,3800,3800,3800,3800,2600,VMG
2023-03-15,3800,3800,3800,3800,700,VMG
2023-03-16,4200,4300,4200,4200,1900,VMG
2023-03-17,4200,4200,4200,4200,1000,VMG
2023-03-20,3900,3900,3900,3900,1000,VMG
2023-03-21,3900,4000,3900,4000,400,VMG
2023-03-22,4000,4000,4000,4000,100,VMG
2023-03-27,4000,4000,4000,4000,2200,VMG
2023-03-28,4000,4000,4000,4000,1300,VMG
2023-03-30,4100,4100,4100,4100,400,VMG
2023-04-03,4100,4100,4100,4100,4200,VMG
2023-04-13,4000,4000,4000,4000,3000,VMG
2023-04-19,4200,4200,4200,4200,100,VMG
2023-04-27,3700,3700,3700,3700,100,VMG
2023-04-28,3700,3700,3700,3700,200,VMG
2023-05-19,3900,3900,3900,3900,100,VMG
2023-05-23,3900,3900,3900,3900,1800,VMG
2023-05-24,3600,3800,3600,3700,1600,VMG
2023-05-25,3800,3800,3800,3800,5700,VMG
2023-05-26,3800,3800,3700,3800,3300,VMG
2023-05-29,3700,3700,3700,3700,1100,VMG
2023-05-31,3800,3800,3700,3700,1000,VMG
2023-06-01,4100,4100,4100,4100,100,VMG
2023-06-02,4100,4100,4100,4100,100,VMG
2023-06-06,3700,4000,3700,4000,1700,VMG
2023-06-07,3900,3900,3800,3900,11700,VMG
2023-06-08,4000,4000,3900,4000,2500,VMG
2023-06-09,4200,4200,4200,4200,700,VMG
2023-06-12,3700,3800,3700,3800,2500,VMG
2023-06-13,3800,4200,3700,4200,27500,VMG
2023-06-14,4300,4300,3900,4200,26200,VMG
2023-06-15,4200,4600,3700,4300,28600,VMG
2023-06-16,4300,4300,3700,3900,25500,VMG
2023-06-19,4000,4000,4000,4000,300,VMG
