time,open,high,low,close,volume,ticker
2023-01-03,26100,30500,26100,30500,400,VNA
2023-01-04,30300,30300,27500,28000,2000,VNA
2023-01-05,28000,28000,27000,27300,5000,VNA
2023-01-06,27200,29700,27200,29700,1900,VNA
2023-01-09,27900,28500,27900,27900,400,VNA
2023-01-10,28100,28100,24500,24500,3200,VNA
2023-01-11,27000,27700,27000,27600,5400,VNA
2023-01-12,28600,28600,28600,28600,100,VNA
2023-01-13,28000,28500,28000,28100,3500,VNA
2023-01-16,28200,28200,28200,28200,800,VNA
2023-01-17,26200,28000,26200,28000,800,VNA
2023-01-18,27800,29900,27800,29800,5300,VNA
2023-01-19,30000,30000,30000,30000,900,VNA
2023-01-27,29800,29800,29800,29800,1000,VNA
2023-01-30,27200,30400,27200,30400,200,VNA
2023-01-31,31000,32000,28200,32000,38400,VNA
2023-02-01,32700,32700,31400,31800,13700,VNA
2023-02-02,28100,31800,28100,31800,1300,VNA
2023-02-03,29200,29300,29200,29200,400,VNA
2023-02-07,30000,30000,30000,30000,100,VNA
2023-02-08,25500,31800,25500,31600,61100,VNA
2023-02-09,29200,30000,29200,30000,600,VNA
2023-02-10,29900,29900,29900,29900,100,VNA
2023-02-13,28100,28500,28000,28500,7100,VNA
2023-02-14,27000,27000,26500,26500,1600,VNA
2023-02-15,26600,26600,26600,26600,500,VNA
2023-02-16,26800,28500,26800,28500,2800,VNA
2023-02-17,27500,27500,27500,27500,100,VNA
2023-02-20,28000,28000,27700,28000,11700,VNA
2023-02-21,28100,28100,28000,28000,1400,VNA
2023-02-22,28000,28000,28000,28000,1200,VNA
2023-02-23,27900,27900,27900,27900,200,VNA
2023-02-24,26300,26500,26200,26500,6800,VNA
2023-02-27,26300,26300,25300,25300,600,VNA
2023-02-28,23400,26900,23000,26000,2900,VNA
2023-03-01,25900,25900,25900,25900,100,VNA
2023-03-02,25900,26000,25000,26000,700,VNA
2023-03-03,25800,25800,25500,25800,700,VNA
2023-03-06,25600,25800,25600,25600,900,VNA
2023-03-07,24300,24300,24300,24300,100,VNA
2023-03-08,25100,25100,25100,25100,200,VNA
2023-03-09,25500,25600,25500,25500,1400,VNA
2023-03-13,25500,26000,25500,26000,800,VNA
2023-03-15,25900,25900,25900,25900,300,VNA
2023-03-16,25800,25900,25800,25900,1100,VNA
2023-03-20,25800,25800,25800,25800,100,VNA
2023-03-21,22100,25800,22100,24100,2800,VNA
2023-03-22,25000,25000,24900,24900,200,VNA
2023-03-23,25000,25000,25000,25000,100,VNA
2023-03-24,23600,24000,23600,24000,400,VNA
2023-03-27,23700,24500,23700,24400,400,VNA
2023-03-28,26000,26000,26000,26000,1500,VNA
2023-03-29,29300,29300,29300,29300,600,VNA
2023-03-30,27100,28000,27100,28000,200,VNA
2023-03-31,29500,29800,29500,29800,11900,VNA
2023-04-03,27000,27000,27000,27000,2600,VNA
2023-04-04,29700,31200,29700,31200,15000,VNA
2023-04-05,29000,29000,29000,29000,100,VNA
2023-04-06,28000,28000,28000,28000,700,VNA
2023-04-10,29100,29100,28000,28000,7000,VNA
2023-04-11,28000,28000,26500,26500,1900,VNA
2023-04-12,29900,29900,29900,29900,5000,VNA
2023-04-13,28900,28900,28900,28900,4500,VNA
2023-04-14,27800,27800,26600,27800,5800,VNA
2023-04-17,29400,29400,29400,29400,5000,VNA
2023-04-18,29900,29900,29900,29900,4500,VNA
2023-04-19,29800,29800,29800,29800,2500,VNA
2023-04-20,28200,28200,27900,27900,600,VNA
2023-04-21,27500,27500,27500,27500,100,VNA
2023-04-24,27500,27500,27500,27500,200,VNA
2023-04-25,26900,28600,26900,28100,13100,VNA
2023-04-26,27900,27900,27900,27900,600,VNA
2023-04-27,27900,28000,26900,26900,2900,VNA
2023-04-28,27000,27300,26200,27000,3900,VNA
2023-05-04,27000,27000,27000,27000,400,VNA
2023-05-05,24500,24500,24500,24500,300,VNA
2023-05-08,27400,27400,25600,25600,1200,VNA
2023-05-09,26000,26100,26000,26100,2600,VNA
2023-05-10,26000,26100,25600,26000,5700,VNA
2023-05-11,26000,26000,25500,26000,18000,VNA
2023-05-12,25700,26000,25700,26000,5200,VNA
2023-05-15,27200,27200,25700,25700,700,VNA
2023-05-16,25700,25700,25700,25700,3000,VNA
2023-05-17,25600,26000,25500,25700,16400,VNA
2023-05-18,25600,25800,25000,25000,27400,VNA
2023-05-19,25100,25100,24900,25000,9400,VNA
2023-05-22,25000,25000,25000,25000,3000,VNA
2023-05-23,25000,25000,25000,25000,1700,VNA
2023-05-24,25000,25000,24700,24700,6000,VNA
2023-05-25,24800,24800,24500,24700,7300,VNA
2023-05-26,25000,25000,24600,24600,6600,VNA
2023-05-29,24900,24900,24700,24800,5000,VNA
2023-05-30,24700,24800,24500,24500,58300,VNA
2023-05-31,25700,25700,25000,25200,5800,VNA
2023-06-01,26800,27000,24900,25300,10000,VNA
2023-06-02,26000,26000,25000,25300,13800,VNA
2023-06-05,26000,26800,25700,26800,18100,VNA
2023-06-06,26400,26800,25100,26100,4400,VNA
2023-06-07,26600,26800,26200,26600,22300,VNA
2023-06-08,26700,26700,26200,26300,6800,VNA
2023-06-09,26500,26500,25700,26000,3100,VNA
2023-06-12,26000,26700,26000,26100,4100,VNA
2023-06-13,25900,26200,25700,26200,5000,VNA
2023-06-14,26000,26200,25800,26100,7600,VNA
2023-06-15,26000,26200,26000,26200,1900,VNA
2023-06-16,26200,26200,25900,26100,5000,VNA
2023-06-19,26100,26100,25700,25900,1700,VNA
2023-06-20,26300,26300,25700,25700,4700,VNA
2023-06-21,25800,25900,25500,25700,5400,VNA
2023-06-22,25800,25800,25000,25600,20000,VNA
2023-06-23,25400,25900,25300,25900,16600,VNA
2023-06-26,25400,25400,25000,25200,2800,VNA
2023-06-27,25900,27400,25200,26600,43300,VNA
2023-06-28,26900,26900,26300,26400,3200,VNA
2023-06-29,26400,26400,25800,25800,10700,VNA
2023-06-30,25900,25900,25900,25900,4000,VNA
2023-07-03,26300,26300,26000,26100,5700,VNA
2023-07-04,26200,26400,26000,26100,4200,VNA
2023-07-05,26100,26200,26100,26100,5600,VNA
2023-07-06,26000,26300,25700,25800,3100,VNA
2023-07-07,26300,26300,26200,26200,3400,VNA
2023-07-10,26200,26300,26000,26000,3600,VNA
2023-07-11,26000,26200,25700,25700,9100,VNA
2023-07-12,25700,25800,25700,25800,5700,VNA
2023-07-13,25700,25700,24900,25200,17800,VNA
2023-07-14,25100,25100,25000,25100,12500,VNA
2023-07-17,25400,25400,24000,24000,10300,VNA
2023-07-18,24000,25500,24000,25100,12500,VNA
2023-07-19,24800,25700,24800,25200,7900,VNA
2023-07-20,25400,25400,24300,25300,16900,VNA
2023-07-21,25300,25300,24600,24700,4000,VNA
2023-07-24,24700,25200,24500,25000,12300,VNA
2023-07-25,25000,25100,24600,24900,16100,VNA
2023-07-26,24800,24900,24600,24600,6000,VNA
2023-07-27,24500,24900,24400,24700,12900,VNA
2023-07-28,24700,24700,24200,24300,5900,VNA
2023-07-31,24500,24700,24300,24400,5400,VNA
2023-08-01,24500,24500,24200,24200,5600,VNA
2023-08-02,24800,24800,24100,24300,5700,VNA
2023-08-03,24300,24400,24300,24400,12400,VNA
2023-08-04,24400,24900,24400,24700,4000,VNA
2023-08-07,25000,25000,24500,25000,15300,VNA
2023-08-08,25000,25100,24500,25100,22000,VNA
2023-08-09,25100,25700,25000,25000,32100,VNA
2023-08-10,25400,26000,25300,25600,23300,VNA
2023-08-11,25700,25900,25000,25500,7500,VNA
2023-08-14,25800,25800,25000,25000,10700,VNA
2023-08-15,25700,25700,24700,24700,2300,VNA
2023-08-16,25300,25300,24600,25200,3000,VNA
2023-08-17,24500,24600,24500,24600,5600,VNA
2023-08-18,24500,24900,21100,21100,18900,VNA
2023-08-21,21100,24000,21100,23100,2200,VNA
2023-08-22,24000,24000,21800,23000,13500,VNA
2023-08-23,22300,24000,22200,22200,3100,VNA
2023-08-24,24000,24000,22600,22600,1400,VNA
2023-08-25,22300,22800,22000,22000,7600,VNA
2023-08-28,22300,22300,22300,22300,2700,VNA
2023-08-29,23000,23000,22200,22200,7800,VNA
2023-08-30,22300,22300,22000,22100,6200,VNA
2023-08-31,22800,22800,22300,22600,10800,VNA
2023-09-05,23000,23000,22500,22700,12000,VNA
2023-09-06,22600,22600,20200,21500,18400,VNA
2023-09-07,22000,22000,21800,21900,25600,VNA
2023-09-08,22200,25200,22200,23700,47300,VNA
2023-09-11,23600,25000,23400,23800,10500,VNA
2023-09-12,24300,24300,22600,22800,15900,VNA
2023-09-13,24400,24400,22700,22700,27900,VNA
2023-09-14,23000,23000,22800,22900,2800,VNA
2023-09-15,22300,22700,22200,22500,12500,VNA
2023-09-18,22400,23000,22300,22300,3100,VNA
2023-09-19,22200,22200,22100,22100,1400,VNA
2023-09-20,22100,22900,22100,22800,2200,VNA
2023-09-21,24000,24000,22900,23100,12400,VNA
2023-09-22,23200,23200,22300,23000,3400,VNA
2023-09-25,24000,24000,22300,22300,10100,VNA
2023-09-26,22800,22800,21900,22000,7400,VNA
2023-09-27,22000,22200,22000,22200,2100,VNA
2023-09-28,22000,24500,22000,22800,13200,VNA
2023-09-29,22500,22800,22500,22800,300,VNA
2023-10-02,22500,22600,22200,22200,3600,VNA
2023-10-03,22500,22600,21200,21200,7500,VNA
2023-10-04,21500,21900,21200,21400,5700,VNA
2023-10-05,21500,22600,21500,21500,5000,VNA
2023-10-06,19100,22000,18800,21100,18900,VNA
2023-10-09,21900,22500,21900,22500,15600,VNA
2023-10-10,23300,24000,22500,22500,17900,VNA
2023-10-11,23400,23400,21700,22400,2600,VNA
2023-10-12,22300,22800,22000,22500,6300,VNA
