time,open,high,low,close,volume,ticker
2023-01-03,62100,62100,62100,62100,100,VNT
2023-01-05,68300,68300,68300,68300,100,VNT
2023-01-09,75000,75000,75000,75000,100,VNT
2023-01-10,67900,67900,67900,67900,100,VNT
2023-01-16,67900,73500,67900,73500,500,VNT
2023-01-17,66400,66400,66400,66400,100,VNT
2023-01-19,60100,60100,60100,60100,100,VNT
2023-01-27,66100,66100,66100,66100,200,VNT
2023-02-01,59700,59700,59700,59700,100,VNT
2023-02-17,65600,65600,65600,65600,300,VNT
2023-02-23,71900,71900,71900,71900,100,VNT
2023-02-24,64800,64800,64800,64800,200,VNT
2023-02-27,71000,71000,71000,71000,100,VNT
2023-03-02,77900,77900,77900,77900,100,VNT
2023-03-03,75000,75000,75000,75000,100,VNT
2023-03-06,67500,67500,67500,67500,100,VNT
2023-03-15,60800,60800,60800,60800,100,VNT
2023-05-04,54800,54800,54800,54800,100,VNT
2023-05-08,60000,60000,60000,60000,200,VNT
2023-05-09,54000,59500,54000,59500,30200,VNT
2023-05-10,59500,59500,59500,59500,100,VNT
2023-05-11,52300,58000,52300,57500,1100,VNT
2023-05-12,55000,55000,55000,55000,4500,VNT
2023-05-29,66000,66000,54000,54000,200,VNT
2023-05-30,48700,59000,48700,59000,600,VNT
2023-06-01,54000,54000,53200,54000,40000,VNT
2023-06-06,53600,53600,53600,53600,100,VNT
2023-06-07,58000,58000,49200,49300,15300,VNT
2023-06-08,54000,54000,54000,54000,600,VNT
2023-06-13,49200,54000,49200,54000,200,VNT
2023-06-14,54000,54000,54000,54000,5000,VNT
2023-06-15,57500,57500,57500,57500,4500,VNT
2023-06-16,51800,58500,51800,58500,1400,VNT
2023-06-21,54000,54000,54000,54000,4800,VNT
2023-06-22,48700,48700,48700,48700,100,VNT
2023-06-27,53500,53500,44000,53500,1200,VNT
2023-06-28,48300,57500,48300,57500,5300,VNT
2023-06-29,51800,53900,51800,53900,800,VNT
2023-06-30,48700,57500,48700,57500,600,VNT
2023-07-03,57500,57500,52000,57500,800,VNT
2023-07-04,52100,60000,52100,60000,300,VNT
2023-07-05,54000,60000,54000,54000,500,VNT
2023-07-06,48700,57000,48700,48700,700,VNT
2023-07-07,48700,52300,48700,52300,500,VNT
2023-07-10,47200,55800,47200,55800,200,VNT
2023-07-11,57000,57000,50400,55800,10200,VNT
2023-07-12,50300,55200,50300,55200,10300,VNT
2023-07-13,55000,55000,49800,54800,20200,VNT
2023-07-14,54500,54500,49600,54100,25400,VNT
2023-07-17,50100,57500,48800,57500,15400,VNT
2023-07-18,51800,51800,51800,51800,100,VNT
2023-07-19,51800,53000,47300,52900,1300,VNT
2023-07-20,47900,54800,47900,54800,200,VNT
2023-07-21,49500,53900,49500,53900,200,VNT
2023-07-25,49500,49500,49500,49500,100,VNT
2023-07-26,54400,54400,49500,49500,400,VNT
2023-07-31,54300,54300,54300,54300,100,VNT
2023-08-01,49500,49500,49500,49500,100,VNT
2023-08-03,54000,54400,49500,49500,22400,VNT
2023-08-08,53500,53500,49500,49500,1100,VNT
2023-08-14,54400,54400,49500,49500,29500,VNT
2023-08-15,54000,54000,49500,54000,7700,VNT
2023-08-16,49500,49500,49500,49500,100,VNT
2023-08-21,49100,49100,49100,49100,100,VNT
2023-08-22,48600,48600,48600,48600,100,VNT
2023-08-23,45100,52900,45100,52900,200,VNT
2023-09-08,52000,57500,47800,57500,1300,VNT
2023-09-11,57000,57000,51800,57000,40100,VNT
2023-09-12,51400,52000,51400,51500,5300,VNT
2023-09-14,52000,54500,52000,54500,700,VNT
2023-09-15,49300,54000,49300,54000,200,VNT
2023-09-18,52000,52000,49100,52000,6200,VNT
2023-09-19,52000,55000,52000,55000,1000,VNT
2023-09-20,58000,58000,49600,57900,400,VNT
2023-09-21,52200,57000,52200,52200,300,VNT
2023-09-25,47100,47100,47100,47100,100,VNT
2023-09-26,51400,51400,51400,51400,100,VNT
2023-10-02,52000,52000,52000,52000,100,VNT
2023-10-03,47100,47100,47100,47100,100,VNT
2023-10-04,50600,50600,50600,50600,100,VNT
2023-10-11,45800,52900,45800,52900,200,VNT
