time,open,high,low,close,volume,ticker
2023-01-03,12920,13580,12820,13580,1786200,VPG
2023-01-04,13630,13770,13300,13530,1670300,VPG
2023-01-05,13530,13580,13250,13490,1188600,VPG
2023-01-06,13490,13580,12960,13150,1394600,VPG
2023-01-09,13150,13300,12920,13010,786400,VPG
2023-01-10,13010,13200,12630,13150,1321300,VPG
2023-01-11,13200,13200,13010,13110,695300,VPG
2023-01-12,13110,13150,12770,13010,714100,VPG
2023-01-13,13010,13110,12350,12350,2422500,VPG
2023-01-16,12350,12540,11920,11970,1176500,VPG
2023-01-17,12160,12770,12010,12770,1730500,VPG
2023-01-18,12820,13440,12770,13440,1355700,VPG
2023-01-19,13340,13440,13060,13150,1525900,VPG
2023-01-27,13300,13490,13060,13250,1453500,VPG
2023-01-30,13300,14010,13250,13770,3264900,VPG
2023-01-31,13870,14440,13870,14250,4349000,VPG
2023-02-01,14250,14720,13580,13580,5196900,VPG
2023-02-02,13580,13720,12870,12960,2533300,VPG
2023-02-03,12960,13060,12440,12680,2068100,VPG
2023-02-06,12680,12680,12350,12630,1193800,VPG
2023-02-07,12680,12870,12390,12490,1497600,VPG
2023-02-08,12490,12770,12010,12630,1583500,VPG
2023-02-09,12730,12770,12390,12580,807900,VPG
2023-02-10,12580,12680,12160,12250,1083600,VPG
2023-02-13,12160,12350,11400,11400,2461000,VPG
2023-02-14,11400,11780,10970,11680,1519600,VPG
2023-02-15,11680,12060,11540,11730,1009400,VPG
2023-02-16,11870,11970,11630,11870,770500,VPG
2023-02-17,11920,12060,11730,11820,722800,VPG
2023-02-20,11820,12540,11730,12540,1819100,VPG
2023-02-21,12630,12770,12200,12250,1107900,VPG
2023-02-22,11970,12200,11730,11970,1997300,VPG
2023-02-23,11920,11970,11350,11680,1016800,VPG
2023-02-24,11730,11730,11400,11490,483000,VPG
2023-02-27,11400,11630,10920,10920,1050900,VPG
2023-02-28,11020,11110,10680,10780,529000,VPG
2023-03-01,10780,11400,10450,11400,1192300,VPG
2023-03-02,11400,11490,11160,11400,639700,VPG
2023-03-03,11300,11490,11020,11210,634300,VPG
2023-03-06,11250,11440,11160,11160,664800,VPG
2023-03-07,11160,11400,11020,11400,1152300,VPG
2023-03-08,11210,11820,11020,11820,2079700,VPG
2023-03-09,11870,12010,11680,11970,1361900,VPG
2023-03-10,11730,11970,11680,11970,1174400,VPG
2023-03-13,11780,11870,11680,11870,780500,VPG
2023-03-14,11870,11970,11300,11540,1416700,VPG
2023-03-15,11870,12250,11540,12250,2241100,VPG
2023-03-16,12060,12160,11540,11820,1544200,VPG
2023-03-17,11870,11970,11540,11870,601900,VPG
2023-03-20,11820,11820,11350,11350,1136600,VPG
2023-03-21,11400,11540,11210,11540,847900,VPG
2023-03-22,11590,11680,11350,11440,480400,VPG
2023-03-23,11210,11350,10640,11060,853100,VPG
2023-03-24,11210,11300,11020,11110,716100,VPG
2023-03-27,11110,11490,11110,11350,726100,VPG
2023-03-28,11490,11490,11250,11350,559800,VPG
2023-03-29,11400,11490,11250,11300,515300,VPG
2023-03-30,11440,11590,11300,11350,927200,VPG
2023-03-31,11350,11400,11210,11250,555200,VPG
2023-04-03,11350,11400,11250,11300,494900,VPG
2023-04-04,11400,11780,11250,11780,1588900,VPG
2023-04-05,11820,11970,11680,11920,967700,VPG
2023-04-06,12060,12680,12060,12350,4311900,VPG
2023-04-07,12440,12540,12110,12440,1302600,VPG
2023-04-10,12440,12580,12060,12060,1864200,VPG
2023-04-11,12010,12160,11780,12160,1158800,VPG
2023-04-12,12110,12580,11920,12390,1869600,VPG
2023-04-13,12440,12540,12110,12250,977700,VPG
2023-04-14,12200,12300,11730,11780,1276900,VPG
2023-04-17,11680,11680,11210,11590,1727800,VPG
2023-04-18,11680,11780,11350,11630,1630100,VPG
2023-04-19,11780,11820,11490,11540,1418800,VPG
2023-04-20,11590,11630,11440,11590,685100,VPG
2023-04-21,11730,11730,11490,11630,615200,VPG
2023-04-24,11490,11590,11300,11300,668700,VPG
2023-04-25,11490,11630,11300,11400,747400,VPG
2023-04-26,11440,11590,11350,11540,802200,VPG
2023-04-27,11820,11820,11630,11680,595200,VPG
2023-04-28,11680,12060,11590,11970,2159000,VPG
2023-05-04,12010,12010,11780,11820,827200,VPG
2023-05-05,11780,11870,11630,11780,880700,VPG
2023-05-08,11820,12540,11730,12540,3154500,VPG
2023-05-09,12920,12960,12630,12770,2130500,VPG
2023-05-10,12870,13580,12680,13530,3539800,VPG
