time,open,high,low,close,volume,ticker
2023-01-03,3990,4200,3990,4200,93000,VPH
2023-01-04,4200,4300,4059,4180,121700,VPH
2023-01-05,4000,4360,4000,4180,56100,VPH
2023-01-06,4120,4250,4100,4110,98200,VPH
2023-01-09,4130,4140,4100,4100,63500,VPH
2023-01-10,4180,4180,4019,4090,29000,VPH
2023-01-11,4180,4180,4000,4100,59400,VPH
2023-01-12,3990,4150,3990,4040,41400,VPH
2023-01-13,4120,4150,4010,4100,105000,VPH
2023-01-16,4100,4100,3990,4070,67400,VPH
2023-01-17,4000,4090,3980,4050,156700,VPH
2023-01-18,4050,4150,4000,4059,56200,VPH
2023-01-19,4180,4200,4059,4100,64000,VPH
2023-01-27,4140,4230,4140,4150,88800,VPH
2023-01-30,4150,4340,4150,4320,171200,VPH
2023-01-31,4400,4400,4200,4200,97400,VPH
2023-02-01,4250,4450,4200,4210,181100,VPH
2023-02-02,4220,4220,4050,4130,135000,VPH
2023-02-03,4330,4330,4040,4200,56300,VPH
2023-02-06,4190,4210,4140,4190,57700,VPH
2023-02-07,4280,4280,4030,4070,58400,VPH
2023-02-08,4070,4150,4050,4070,77800,VPH
2023-02-09,4100,4110,4050,4100,58200,VPH
2023-02-10,4110,4120,4030,4090,40800,VPH
2023-02-13,4030,4030,3830,3880,80900,VPH
2023-02-14,4019,4019,3880,3950,62800,VPH
2023-02-15,3920,4000,3920,3930,121700,VPH
2023-02-16,4000,4000,3930,3940,36000,VPH
2023-02-17,4100,4130,3830,3890,123600,VPH
2023-02-20,3950,4120,3950,4120,214900,VPH
2023-02-21,4180,4220,4050,4110,203400,VPH
2023-02-22,4019,4220,4019,4059,115200,VPH
2023-02-23,4010,4070,3910,3950,72300,VPH
2023-02-24,3950,4000,3900,3900,58600,VPH
2023-02-27,3850,3900,3800,3810,98800,VPH
2023-02-28,3810,3930,3800,3800,90800,VPH
2023-03-01,3800,3910,3750,3850,70000,VPH
2023-03-02,3850,3970,3810,3850,35000,VPH
2023-03-03,3950,3950,3830,3830,43900,VPH
2023-03-06,3850,4059,3850,3880,144500,VPH
2023-03-07,3890,4000,3880,3920,56200,VPH
2023-03-08,3920,3970,3860,3960,57100,VPH
2023-03-09,3970,4000,3930,3970,58100,VPH
2023-03-10,3950,3990,3930,3960,55200,VPH
2023-03-13,3900,3960,3880,3900,56900,VPH
2023-03-14,3900,3900,3800,3800,104100,VPH
2023-03-15,3900,3930,3820,3900,110700,VPH
2023-03-16,3880,3890,3820,3840,35800,VPH
2023-03-17,4000,4000,3810,3840,36800,VPH
2023-03-20,3800,3900,3790,3790,45800,VPH
2023-03-21,3790,3850,3770,3790,96300,VPH
2023-03-22,3900,3900,3800,3800,10700,VPH
2023-03-23,3820,3850,3820,3840,3400,VPH
2023-03-24,3890,3890,3850,3880,3500,VPH
2023-03-27,3960,3960,3830,3830,10500,VPH
2023-03-28,3890,3890,3890,3890,7300,VPH
2023-03-29,3850,3890,3850,3850,36000,VPH
2023-03-30,3990,3990,3900,3910,47900,VPH
2023-03-31,3930,3950,3880,3940,18700,VPH
2023-04-03,3880,4070,3880,4050,217300,VPH
2023-04-04,4260,4260,4090,4200,183400,VPH
2023-04-05,4200,4440,4160,4440,600300,VPH
2023-04-06,4750,4750,4730,4750,333700,VPH
2023-04-07,4760,4800,4590,4680,144600,VPH
2023-04-10,4740,4800,4520,4550,363900,VPH
2023-04-11,4510,4600,4370,4490,143200,VPH
2023-04-12,4550,4670,4460,4670,35200,VPH
2023-04-13,4630,4640,4550,4550,76700,VPH
2023-04-14,4550,4620,4430,4440,78600,VPH
2023-04-17,4370,4550,4370,4460,65800,VPH
2023-04-18,4510,4510,4300,4500,52300,VPH
2023-04-19,4510,4520,4370,4370,83800,VPH
2023-04-20,4470,4480,4300,4320,46900,VPH
2023-04-21,4500,4500,4400,4480,29500,VPH
