time,open,high,low,close,volume,ticker
2023-01-03,8010,8600,7900,8450,36800,VRC
2023-01-04,8900,8900,8300,8400,3800,VRC
2023-01-05,8800,8800,8400,8420,22600,VRC
2023-01-06,8300,8390,8000,8189,36600,VRC
2023-01-09,8000,8170,7720,8170,22200,VRC
2023-01-10,8160,8160,7700,8109,6700,VRC
2023-01-11,8450,8450,8000,8160,10400,VRC
2023-01-12,8310,8310,7700,8220,102100,VRC
2023-01-13,8480,8480,8070,8100,1600,VRC
2023-01-16,8280,8280,8100,8189,4800,VRC
2023-01-17,8350,8350,8100,8230,15400,VRC
2023-01-18,8440,8440,8300,8300,13000,VRC
2023-01-19,8210,8400,8090,8330,22200,VRC
2023-01-27,8330,8850,8300,8800,18600,VRC
2023-01-30,8860,9280,8820,9200,35200,VRC
2023-01-31,9430,9450,8890,9450,27600,VRC
2023-02-01,9800,9800,8810,9230,65300,VRC
2023-02-02,9590,9590,8890,9180,16500,VRC
2023-02-03,9180,9500,8540,8960,64100,VRC
2023-02-06,8540,8880,8540,8540,42700,VRC
2023-02-07,9000,9000,8250,8250,15600,VRC
2023-02-08,8250,8770,8000,8730,20500,VRC
2023-02-09,8640,8650,8300,8650,4600,VRC
2023-02-10,8630,8990,8630,8990,24900,VRC
2023-02-13,9200,9200,8690,8990,29900,VRC
2023-02-14,9000,9100,9000,9100,3400,VRC
2023-02-15,9120,9300,9100,9290,15200,VRC
2023-02-16,9290,9650,9290,9470,15600,VRC
2023-02-17,9470,9730,9400,9730,39200,VRC
2023-02-20,9720,9790,9510,9750,11400,VRC
2023-02-21,9800,9850,9550,9800,39300,VRC
2023-02-22,9600,9700,9450,9450,25000,VRC
2023-02-23,9010,9400,8790,9400,26800,VRC
2023-02-24,9400,9990,9400,9950,37300,VRC
2023-02-27,9530,9950,9260,9260,11300,VRC
2023-02-28,9200,9300,8650,9190,34400,VRC
2023-03-01,8610,8990,8580,8990,28400,VRC
2023-03-02,8610,8790,8590,8790,18100,VRC
2023-03-03,8610,8610,8570,8570,4600,VRC
2023-03-06,8600,8700,8600,8650,7600,VRC
2023-03-07,8600,8600,8600,8600,3400,VRC
2023-03-08,8640,8640,8640,8640,200,VRC
2023-03-09,8800,8800,8330,8740,8400,VRC
2023-03-10,8810,8810,8500,8690,700,VRC
2023-03-13,8600,8670,8390,8670,3400,VRC
2023-03-14,8730,8730,8460,8660,2200,VRC
2023-03-15,8780,8780,8500,8760,8400,VRC
2023-03-16,8730,8730,8730,8730,100,VRC
2023-03-17,8700,8710,8700,8700,1600,VRC
2023-03-20,8330,8340,8100,8119,24300,VRC
2023-03-21,8200,8380,8119,8130,11600,VRC
2023-03-22,8160,8160,8160,8160,100,VRC
2023-03-23,8130,8130,8119,8119,9000,VRC
2023-03-24,8340,8350,8340,8350,600,VRC
