time,open,high,low,close,volume,ticker
2023-01-03,27000,28100,26350,28100,3875900,VRE
2023-01-04,28550,28750,28100,28600,2624200,VRE
2023-01-05,28400,29200,28000,29200,4076200,VRE
2023-01-06,29200,29600,28350,29250,1696300,VRE
2023-01-09,29250,29600,29000,29400,1193700,VRE
2023-01-10,29400,29400,28450,29400,914500,VRE
2023-01-11,29450,29500,28500,28500,989900,VRE
2023-01-12,28900,28900,28000,28700,1037700,VRE
2023-01-13,28700,29000,28250,28600,770200,VRE
2023-01-16,28350,28800,27950,28500,1010000,VRE
2023-01-17,28700,29850,27950,29850,2138800,VRE
2023-01-18,29800,29800,29000,29300,1473600,VRE
2023-01-19,29000,30300,29000,29650,3043500,VRE
2023-01-27,29700,30500,29700,30300,1974800,VRE
2023-01-30,30200,30200,29300,29800,1610100,VRE
2023-01-31,29750,30150,29250,29700,1095200,VRE
2023-02-01,29700,29700,28000,28000,1893600,VRE
2023-02-02,28050,28950,28050,28850,1699200,VRE
2023-02-03,28850,29200,28600,29200,1095800,VRE
2023-02-06,28500,29500,28300,29500,940200,VRE
2023-02-07,29400,29500,28550,28550,1347600,VRE
2023-02-08,28550,28950,28450,28500,1375500,VRE
2023-02-09,28300,28950,28150,28200,1205500,VRE
2023-02-10,28200,28400,27800,28200,726000,VRE
2023-02-13,28000,28500,27550,28500,1031800,VRE
2023-02-14,28500,28500,27400,28000,1441900,VRE
2023-02-15,27800,28400,27600,28350,969600,VRE
2023-02-16,28350,28450,27700,28400,978700,VRE
2023-02-17,28300,28650,28000,28400,1280800,VRE
2023-02-20,28300,29350,28150,29350,3128000,VRE
2023-02-21,29350,29800,29150,29600,1309700,VRE
2023-02-22,29300,29350,28100,28100,1360100,VRE
2023-02-23,28300,28400,26500,26500,4737800,VRE
2023-02-24,26700,26900,26300,26500,2243300,VRE
2023-02-27,26150,26600,25550,25750,1513400,VRE
2023-02-28,26200,27550,26100,26700,2998000,VRE
2023-03-01,26700,27450,26200,26800,2068500,VRE
2023-03-02,26950,27000,26200,26200,1980400,VRE
2023-03-03,26300,26500,25700,26000,2078400,VRE
2023-03-06,26450,27100,26150,26150,2736300,VRE
2023-03-07,26700,27000,26400,26600,2211500,VRE
2023-03-08,26400,27250,26400,27250,2194700,VRE
2023-03-09,27250,27450,26950,27000,5053200,VRE
2023-03-10,26900,28050,26900,28000,2302400,VRE
2023-03-13,27950,29400,27850,29100,4124400,VRE
2023-03-14,28800,29050,28250,28800,2116400,VRE
2023-03-15,28800,29400,28200,28500,3577700,VRE
2023-03-16,28450,29050,28450,28950,2649100,VRE
2023-03-17,28950,29700,28950,29500,6891400,VRE
2023-03-20,29500,29500,28050,29000,2353200,VRE
2023-03-21,28950,29500,28150,29450,3045500,VRE
2023-03-22,29100,29800,28850,29700,3610800,VRE
2023-03-23,29000,29450,29000,29300,1817500,VRE
2023-03-24,29250,29450,29200,29400,1089600,VRE
