time,open,high,low,close,volume,ticker
2023-01-03,29310,29910,29310,29910,19200,VSH
2023-01-04,29450,30190,29450,30190,21700,VSH
2023-01-05,30610,32240,30240,31910,192700,VSH
2023-01-06,32049,32470,31680,31680,39800,VSH
2023-01-09,31680,31680,30660,31120,76700,VSH
2023-01-10,30840,31450,30380,31120,34900,VSH
2023-01-11,31210,31450,30890,31170,68600,VSH
2023-01-12,31820,31820,31170,31170,17300,VSH
2023-01-13,31400,31450,31120,31120,34500,VSH
2023-01-16,31120,31120,30660,30660,18300,VSH
2023-01-17,30700,31540,30190,31540,37100,VSH
2023-01-18,31860,31960,31490,31730,30400,VSH
2023-01-19,31910,32189,31910,31910,33400,VSH
2023-01-27,31860,32420,31860,32140,29400,VSH
2023-01-30,32140,32890,32140,32890,27600,VSH
2023-01-31,33440,34190,33350,34000,76000,VSH
2023-02-01,34700,34740,33630,34000,33600,VSH
2023-02-02,34370,34470,33770,34470,46300,VSH
2023-02-03,34470,35020,33910,34140,37400,VSH
2023-02-06,34190,34190,32980,34000,42600,VSH
2023-02-07,33770,34370,33770,34230,45400,VSH
2023-02-08,34280,34370,33950,34370,40000,VSH
2023-02-09,34560,35120,34370,34560,22000,VSH
2023-02-10,34560,34840,34190,34190,39300,VSH
2023-02-13,33910,33910,33170,33910,26300,VSH
2023-02-14,33440,34330,33440,34330,24400,VSH
2023-02-15,33910,34610,33680,34370,70200,VSH
2023-02-16,34470,34840,34330,34560,32000,VSH
2023-02-17,34370,35020,34370,34980,26700,VSH
2023-02-20,34740,36040,34740,36000,115600,VSH
2023-02-21,36040,36180,35300,36040,38600,VSH
2023-02-22,36090,36230,35300,35670,50800,VSH
2023-02-23,35390,35810,35300,35770,40100,VSH
2023-02-24,35530,36040,35210,36040,44100,VSH
2023-02-27,35770,36040,35390,35910,74000,VSH
2023-02-28,36600,36600,35630,35950,15800,VSH
2023-03-01,35390,35950,35390,35950,22500,VSH
2023-03-02,36000,36650,35810,36600,118000,VSH
2023-03-03,36600,36600,36230,36230,33200,VSH
2023-03-06,36420,36420,35910,36230,38900,VSH
2023-03-07,35630,36560,35630,36180,11500,VSH
2023-03-08,36180,36230,35860,36180,43900,VSH
2023-03-09,35910,36180,35910,36040,61800,VSH
2023-03-10,35810,36040,35810,35950,34100,VSH
2023-03-13,35860,36230,35860,36040,31700,VSH
2023-03-14,36420,36420,35300,36040,32000,VSH
2023-03-15,36040,36460,35490,35950,21900,VSH
2023-03-16,35490,36420,35490,36000,33600,VSH
2023-03-17,35950,36280,35950,36230,53000,VSH
2023-03-20,36320,36370,35530,35770,97700,VSH
2023-03-21,36180,36180,35440,35670,34300,VSH
2023-03-22,35720,35720,35670,35720,1700,VSH
2023-03-23,35490,35490,35490,35490,5300,VSH
2023-03-24,35300,35300,35300,35300,300,VSH
2023-03-27,35770,36040,35120,35120,57500,VSH
2023-03-28,35440,35440,35300,35350,21700,VSH
2023-03-29,35300,35300,35120,35300,2900,VSH
