time,open,high,low,close,volume,ticker
2023-01-05,4800,4800,4800,4800,200,VTA
2023-01-11,4100,4700,4100,4700,9700,VTA
2023-01-12,3700,3700,3700,3700,5200,VTA
2023-01-13,3900,4200,3900,4200,5500,VTA
2023-01-16,4400,4400,4400,4400,6900,VTA
2023-01-17,4700,4700,4000,4700,11900,VTA
2023-01-18,4600,4600,4600,4600,100,VTA
2023-01-27,4600,4600,4600,4600,100,VTA
2023-01-30,4000,4600,4000,4600,10800,VTA
2023-01-31,4700,4700,4700,4700,4600,VTA
2023-02-01,4700,4700,4700,4700,500,VTA
2023-02-06,4700,4700,4700,4700,5100,VTA
2023-02-07,4000,4600,4000,4600,17600,VTA
2023-02-08,4100,4600,4100,4600,700,VTA
2023-02-09,3800,4500,3800,4500,27700,VTA
2023-02-10,4600,4600,4600,4600,1500,VTA
2023-02-13,4400,4400,4400,4400,10300,VTA
2023-02-15,4600,4600,3900,4400,7900,VTA
2023-02-17,3800,4500,3800,4500,23200,VTA
2023-02-20,3800,4400,3800,4400,8200,VTA
2023-02-21,4300,4300,4300,4300,19100,VTA
2023-02-24,4400,4400,4400,4400,8100,VTA
2023-02-27,4500,4500,4500,4500,700,VTA
2023-03-02,3900,4500,3900,4500,46100,VTA
2023-03-03,4400,4400,4400,4400,1100,VTA
2023-03-06,4400,4400,4400,4400,33900,VTA
2023-03-07,4500,4500,4500,4500,12000,VTA
2023-03-09,4500,4500,4500,4500,1000,VTA
2023-03-10,4400,4400,4400,4400,2000,VTA
2023-03-14,3900,4400,3900,4400,30700,VTA
2023-03-15,4000,4000,4000,4000,18000,VTA
2023-03-16,4000,4300,4000,4300,17500,VTA
2023-03-17,4400,4400,4400,4400,100,VTA
2023-03-20,3900,4300,3900,4300,44800,VTA
2023-03-21,4400,4400,4400,4400,100,VTA
2023-03-23,4400,4400,4400,4400,17000,VTA
2023-03-24,4400,4400,4400,4400,16600,VTA
2023-04-06,4000,4000,4000,4000,16000,VTA
2023-04-07,4000,4000,4000,4000,200,VTA
2023-04-10,4300,4300,4300,4300,100,VTA
2023-04-17,4000,4000,4000,4000,3000,VTA
2023-04-18,4000,4000,4000,4000,9500,VTA
2023-04-19,4000,4200,4000,4200,6600,VTA
2023-04-20,3900,3900,3900,3900,3500,VTA
2023-04-21,4200,4200,4200,4200,100,VTA
2023-04-24,3900,3900,3700,3700,31300,VTA
2023-04-25,3800,3800,3800,3800,20200,VTA
2023-04-26,4100,4100,3900,4100,3900,VTA
2023-04-27,3700,3700,3700,3700,15200,VTA
2023-04-28,4100,4100,4100,4100,100,VTA
2023-05-08,4100,4100,4100,4100,5400,VTA
2023-05-09,3700,4100,3700,4100,10300,VTA
2023-05-10,4100,4100,4100,4100,200,VTA
2023-05-11,4100,4100,3700,3700,47000,VTA
2023-05-12,4100,4100,3700,3700,11600,VTA
2023-05-16,3700,4100,3700,4100,6500,VTA
2023-05-17,4100,4100,3700,3700,14700,VTA
2023-05-18,4100,4100,4100,4100,200,VTA
