time,open,high,low,close,volume,ticker
2023-01-04,8500,8500,7400,7900,500,VTH
2023-01-05,7400,8500,7200,8500,9100,VTH
2023-01-12,7700,7700,7700,7700,600,VTH
2023-01-13,7900,7900,7900,7900,100,VTH
2023-01-17,8100,8100,8100,8100,100,VTH
2023-01-18,8200,8200,8200,8200,100,VTH
2023-01-30,7700,7700,7700,7700,100,VTH
2023-01-31,8100,8100,7300,7700,700,VTH
2023-02-02,8100,8100,8100,8100,100,VTH
2023-02-07,7300,8000,7300,8000,600,VTH
2023-02-14,7200,7200,7200,7200,500,VTH
2023-02-15,7800,7800,7800,7800,100,VTH
2023-02-20,7100,7800,7100,7800,600,VTH
2023-02-21,7900,7900,7800,7800,200,VTH
2023-02-22,7900,7900,7900,7900,100,VTH
2023-03-02,7900,8200,7900,8200,200,VTH
2023-03-03,7400,7400,7400,7400,100,VTH
2023-03-06,7900,7900,7400,7400,600,VTH
2023-03-07,7900,7900,7900,7900,100,VTH
2023-03-08,8200,8200,8200,8200,100,VTH
2023-03-09,7400,7400,7400,7400,200,VTH
2023-03-10,7900,7900,7900,7900,100,VTH
2023-03-14,8400,8400,8400,8400,100,VTH
2023-03-15,7900,7900,7900,7900,500,VTH
2023-03-17,7200,7700,7200,7700,6300,VTH
2023-03-21,7800,7800,7000,7000,300,VTH
2023-03-22,6300,6300,6300,6300,2000,VTH
2023-03-23,7000,7000,7000,7000,100,VTH
2023-03-24,7400,7400,7400,7400,100,VTH
2023-03-27,7100,7100,7100,7100,100,VTH
2023-03-28,7500,7500,7500,7500,100,VTH
2023-03-30,7600,7600,6600,6600,600,VTH
2023-03-31,6600,6600,6600,6600,700,VTH
2023-04-03,6600,6600,6400,6400,1000,VTH
2023-04-04,6700,6700,6700,6700,400,VTH
2023-04-05,6400,6400,6400,6400,200,VTH
2023-04-07,6200,6600,6200,6600,300,VTH
2023-04-10,6200,6500,6200,6500,200,VTH
2023-04-12,6500,6700,6500,6700,400,VTH
2023-04-13,6300,6900,6300,6900,5000,VTH
2023-04-14,7300,7300,7300,7300,100,VTH
2023-04-17,7700,7700,7700,7700,100,VTH
2023-04-21,8000,8000,8000,8000,100,VTH
2023-04-28,7200,8000,7200,8000,700,VTH
2023-05-10,8000,8700,7200,7700,1400,VTH
2023-05-11,7700,7700,7700,7700,400,VTH
2023-05-12,7500,7900,7500,7900,800,VTH
2023-05-15,8000,8000,7000,7000,700,VTH
2023-05-16,7100,7600,7100,7600,800,VTH
2023-05-23,6900,6900,6900,6900,1000,VTH
2023-05-24,7100,7100,7100,7100,100,VTH
2023-05-26,6400,7000,6400,7000,1300,VTH
2023-05-29,7000,7000,6400,6400,400,VTH
2023-05-30,6800,6900,6800,6900,200,VTH
2023-05-31,7400,7400,7400,7400,100,VTH
2023-06-01,7900,7900,7900,7900,100,VTH
2023-06-05,7200,7800,7200,7800,200,VTH
2023-06-08,7800,8300,7800,8300,200,VTH
2023-06-09,7500,9100,7500,9100,5600,VTH
2023-06-12,9000,10000,9000,9900,7700,VTH
2023-06-13,10700,10800,10500,10600,21700,VTH
2023-06-14,11300,11300,10600,11300,500,VTH
2023-06-21,11300,11300,11300,11300,2000,VTH
2023-06-23,10200,10200,10200,10200,200,VTH
2023-06-27,10500,10500,10500,10500,100,VTH
2023-06-29,11200,11200,10300,10300,400,VTH
2023-07-03,11000,11000,11000,11000,100,VTH
2023-07-04,11900,11900,10500,10700,3600,VTH
2023-07-07,11500,11500,11500,11500,200,VTH
2023-07-12,10400,10400,10400,10400,100,VTH
2023-07-13,9400,9400,9400,9400,1600,VTH
2023-07-14,8500,8500,8500,8500,1400,VTH
2023-07-17,7900,8800,7900,8800,18900,VTH
2023-07-18,9300,9300,8000,8700,1000,VTH
2023-07-19,8000,8600,7900,7900,2400,VTH
2023-07-20,8300,8300,7900,7900,300,VTH
2023-07-24,7500,8000,7400,8000,1300,VTH
2023-07-26,7900,8400,7300,8200,3900,VTH
2023-07-27,8100,8900,8100,8900,1300,VTH
2023-07-28,8900,9400,8900,9400,200,VTH
2023-07-31,8500,9100,8500,8500,6400,VTH
2023-08-02,9100,9100,9100,9100,100,VTH
2023-08-03,8400,8400,8200,8400,2200,VTH
2023-08-04,8800,8800,7700,7700,1900,VTH
2023-08-07,8200,8200,7700,8200,800,VTH
2023-08-08,8600,8600,8300,8300,300,VTH
2023-08-11,8100,8100,8100,8100,3000,VTH
2023-08-14,8400,8400,7500,8400,500,VTH
2023-08-15,8200,8200,7600,7600,600,VTH
2023-08-16,7300,8100,7300,8000,16100,VTH
2023-08-18,7300,7600,7300,7600,200,VTH
