time,open,high,low,close,volume,ticker
2023-01-03,6840,6990,6830,6890,120900,VTO
2023-01-04,6960,7370,6910,7370,721400,VTO
2023-01-05,7370,7670,7370,7530,264500,VTO
2023-01-06,7610,7610,7120,7120,245400,VTO
2023-01-09,7120,7210,7030,7120,408800,VTO
2023-01-10,7180,7210,7070,7200,222900,VTO
2023-01-11,7350,7350,7210,7220,101200,VTO
2023-01-12,7260,7260,7150,7160,47500,VTO
2023-01-13,7160,7210,7150,7160,103200,VTO
2023-01-16,7140,7410,7070,7350,195000,VTO
2023-01-17,7350,7430,7280,7300,189700,VTO
2023-01-18,7270,7410,7260,7290,62800,VTO
2023-01-19,7290,7520,7220,7390,227900,VTO
2023-01-27,7810,7810,7460,7480,113700,VTO
2023-01-30,7620,7710,7390,7440,519700,VTO
2023-01-31,7450,7540,7380,7530,261400,VTO
2023-02-01,7540,7610,7260,7260,299700,VTO
2023-02-02,7300,7300,7070,7070,218400,VTO
2023-02-03,7070,7190,7030,7070,156500,VTO
2023-02-06,7160,7220,7070,7220,100100,VTO
2023-02-07,7200,7320,7030,7050,115400,VTO
2023-02-08,7070,7170,7050,7140,75100,VTO
2023-02-09,7140,7210,7090,7160,38400,VTO
2023-02-10,7160,7170,7110,7160,65400,VTO
2023-02-13,7160,7160,6980,7040,141500,VTO
2023-02-14,7100,7160,6970,7030,113300,VTO
2023-02-15,7070,7440,7030,7350,564800,VTO
2023-02-16,7480,7810,7400,7660,742600,VTO
2023-02-17,7700,7710,7480,7630,238400,VTO
2023-02-20,7690,7850,7620,7800,434100,VTO
2023-02-21,7830,7830,7670,7710,604000,VTO
2023-02-22,7620,7710,7540,7590,276500,VTO
2023-02-23,7620,7620,7210,7530,290200,VTO
2023-02-24,7570,7630,7510,7510,261600,VTO
2023-02-27,7460,7460,7330,7430,241600,VTO
2023-02-28,7480,7480,7360,7430,46200,VTO
2023-03-01,7420,7940,7380,7940,607600,VTO
2023-03-02,8490,8490,8170,8290,1122100,VTO
