time,open,high,low,close,volume,ticker
2023-01-03,19800,19800,19800,19800,100,VVS
2023-01-04,20000,20000,20000,20000,1200,VVS
2023-01-05,20400,20900,20400,20900,2700,VVS
2023-01-06,21500,22000,18300,18300,3100,VVS
2023-01-09,21800,21800,18800,21400,5700,VVS
2023-01-10,18400,21400,18400,21400,3200,VVS
2023-01-11,21300,21300,21300,21300,1000,VVS
2023-01-16,21600,22300,18500,22300,4200,VVS
2023-01-18,21600,22200,21000,21000,2300,VVS
2023-01-27,22300,22800,22300,22800,2500,VVS
2023-01-30,20100,22000,20100,22000,1100,VVS
2023-01-31,21700,21700,21700,21700,2100,VVS
2023-02-01,22000,22500,19100,22000,4300,VVS
2023-02-07,21800,21800,21500,21500,1900,VVS
2023-02-10,22000,22000,22000,22000,1900,VVS
2023-02-13,21800,21800,20000,20000,200,VVS
2023-02-14,20500,20500,20500,20500,100,VVS
2023-02-15,21500,21500,21500,21500,1400,VVS
2023-02-16,21200,21400,21200,21400,1100,VVS
2023-02-17,21500,22000,21500,22000,1500,VVS
2023-02-20,22000,22000,19100,20500,4700,VVS
2023-02-21,21000,21200,19500,19500,2200,VVS
2023-02-22,20300,20300,20300,20300,2000,VVS
2023-02-23,19900,19900,19800,19800,2400,VVS
2023-02-24,20000,20400,20000,20400,1300,VVS
2023-02-27,17600,19400,17600,19400,2600,VVS
2023-02-28,20400,20400,20400,20400,200,VVS
2023-03-01,17600,19100,17600,19100,2400,VVS
2023-03-02,20200,20200,20200,20200,700,VVS
2023-03-06,21000,21000,21000,21000,100,VVS
2023-03-07,17900,18200,17900,17900,4300,VVS
2023-03-08,18100,18100,18100,18100,1000,VVS
2023-03-09,18000,18000,18000,18000,100,VVS
2023-03-13,18500,18500,18500,18500,1000,VVS
2023-03-16,18600,18600,18600,18600,1100,VVS
2023-03-24,18500,18500,18500,18500,200,VVS
2023-04-04,16500,16500,16500,16500,1200,VVS
2023-04-07,17900,17900,17900,17900,2000,VVS
2023-04-10,18000,18000,18000,18000,400,VVS
2023-04-13,17800,17800,17700,17700,2400,VVS
2023-04-14,17900,17900,17900,17900,1500,VVS
2023-04-18,16500,16500,16500,16500,700,VVS
2023-04-19,16000,16000,16000,16000,200,VVS
2023-04-20,17900,17900,17900,17900,500,VVS
2023-04-21,18000,18000,18000,18000,1000,VVS
2023-04-25,16000,16000,16000,16000,100,VVS
2023-04-26,18000,18000,18000,18000,100,VVS
2023-05-08,18300,18300,18300,18300,100,VVS
2023-05-09,18300,18300,18300,18300,100,VVS
2023-05-11,18500,18500,18500,18500,100,VVS
2023-05-18,17300,17300,17300,17300,300,VVS
2023-05-19,17900,17900,17900,17900,200,VVS
2023-05-22,18000,18000,18000,18000,100,VVS
2023-05-23,18000,18000,18000,18000,100,VVS
2023-05-25,18000,18000,18000,18000,300,VVS
2023-05-29,18500,18500,18500,18500,200,VVS
2023-06-02,18000,18000,18000,18000,100,VVS
2023-06-06,18400,18400,18400,18400,200,VVS
2023-06-09,18500,18500,18400,18400,2200,VVS
2023-06-12,18500,18500,18400,18400,400,VVS
2023-06-13,18500,18500,18500,18500,200,VVS
2023-06-15,18500,18500,18500,18500,200,VVS
2023-06-16,19800,20000,19800,20000,1700,VVS
2023-06-19,20000,20000,20000,20000,1200,VVS
2023-06-20,19500,20800,19500,20700,4500,VVS
2023-06-22,20800,21000,20800,20800,1400,VVS
2023-06-26,18000,20800,17800,17800,4100,VVS
2023-06-27,20000,20000,20000,20000,1300,VVS
2023-06-28,20500,21000,20500,21000,1700,VVS
2023-06-30,19000,19000,19000,19000,500,VVS
2023-07-03,19700,19700,19700,19700,500,VVS
2023-07-05,17000,20900,17000,20500,1200,VVS
2023-07-11,17500,19300,17500,19300,1700,VVS
2023-07-12,20300,20300,20300,20300,200,VVS
2023-07-18,17500,18700,17300,18700,2800,VVS
2023-07-19,18000,18000,17600,17600,1500,VVS
2023-07-20,17000,17500,17000,17500,1800,VVS
2023-07-21,17000,17000,17000,17000,3700,VVS
2023-07-24,17300,17300,17000,17000,1500,VVS
2023-07-25,17100,17100,17100,17100,1200,VVS
2023-07-26,17100,17100,17100,17100,1500,VVS
2023-08-08,17100,17100,17100,17100,200,VVS
2023-08-09,18000,18000,18000,18000,500,VVS
2023-08-14,17000,17000,17000,17000,300,VVS
2023-08-15,17000,17000,17000,17000,200,VVS
2023-08-31,19000,19000,19000,19000,700,VVS
2023-09-05,21200,21200,21200,21200,3000,VVS
2023-09-08,18000,18000,18000,18000,2500,VVS
2023-09-11,19200,19200,19200,19200,1000,VVS
2023-09-20,16900,19100,16900,18200,2400,VVS
2023-09-25,17300,17300,17300,17300,100,VVS
2023-09-28,18000,18000,18000,18000,600,VVS
2023-09-29,19700,19700,19700,19700,1200,VVS
2023-10-02,18000,18500,18000,18500,500,VVS
2023-10-03,19500,19500,19500,19500,100,VVS
2023-10-05,17000,17000,16900,16900,700,VVS
2023-10-06,18900,19200,18900,19200,3500,VVS
2023-10-09,19500,19800,19500,19800,800,VVS
2023-10-12,19800,19800,19800,19800,100,VVS
