time,open,high,low,close,volume,ticker
2023-01-03,161050,161050,161050,161050,100,WCS
2023-01-04,161050,161050,161050,161050,200,WCS
2023-01-17,161150,161150,161150,161150,200,WCS
2023-01-18,161340,161340,161340,161340,100,WCS
2023-01-19,158080,158080,158080,158080,100,WCS
2023-01-30,168260,168260,166980,166980,200,WCS
2023-01-31,161340,161340,161340,161340,100,WCS
2023-02-03,161340,161340,161340,161340,400,WCS
2023-02-08,167960,167960,167470,167570,700,WCS
2023-02-09,161340,167870,161340,167870,200,WCS
2023-02-13,161340,161340,161340,161340,100,WCS
2023-02-14,146720,167670,146720,166980,500,WCS
2023-02-15,158180,158180,158180,158180,100,WCS
2023-02-17,163020,163020,163020,163020,100,WCS
2023-02-20,161440,161440,161440,161440,100,WCS
2023-02-22,161340,161340,161340,161340,100,WCS
2023-02-23,163020,163020,163020,163020,400,WCS
2023-02-24,156010,161050,156010,161050,200,WCS
2023-02-27,159070,159070,159070,159070,200,WCS
2023-02-28,159070,162040,159070,162040,300,WCS
2023-03-01,158080,158080,158080,158080,200,WCS
2023-03-03,158080,158080,158080,158080,200,WCS
2023-03-08,157100,157100,157100,157100,100,WCS
2023-03-09,162530,162530,162430,162430,500,WCS
2023-03-10,163020,163020,163020,163020,200,WCS
2023-03-16,163020,163020,163020,163020,200,WCS
2023-03-20,155420,155420,155420,155420,100,WCS
2023-03-21,155420,155420,155420,155420,200,WCS
2023-03-27,155120,155120,155120,155120,100,WCS
2023-03-29,155120,155120,155120,155120,100,WCS
2023-03-30,155120,155120,155120,155120,100,WCS
2023-03-31,155120,155120,155120,155120,100,WCS
2023-04-04,149190,149190,149190,149190,100,WCS
2023-04-05,152160,152160,152160,152160,100,WCS
2023-04-06,155120,155120,155120,155120,100,WCS
2023-04-10,147510,147510,147510,147510,100,WCS
2023-04-12,158380,158380,158380,158380,100,WCS
2023-04-13,152250,152250,152250,152250,100,WCS
2023-04-18,156110,157390,156110,157390,300,WCS
2023-04-20,163320,163320,163320,163320,100,WCS
2023-04-25,158080,158080,158080,158080,300,WCS
2023-04-28,158080,158080,158080,158080,100,WCS
2023-05-04,158080,158080,158080,158080,100,WCS
2023-05-05,158080,158080,158080,158080,300,WCS
2023-05-08,153640,156400,153640,156400,1400,WCS
2023-05-09,157100,157100,156500,156500,1100,WCS
2023-05-15,156900,156900,156900,156900,100,WCS
2023-05-17,158080,158080,158080,158080,100,WCS
2023-05-18,168950,168950,168950,168950,100,WCS
2023-05-22,163020,163020,163020,163020,100,WCS
2023-05-24,163020,163020,163020,163020,1100,WCS
2023-05-26,163220,163520,163220,163520,400,WCS
2023-05-29,165000,165000,165000,165000,700,WCS
2023-06-01,165700,165700,165700,165700,100,WCS
2023-06-02,165800,166000,165800,165900,800,WCS
2023-06-05,166100,168000,166100,167700,1100,WCS
2023-06-06,167800,167800,167800,167800,500,WCS
2023-06-08,167800,167800,167700,167700,700,WCS
2023-06-15,167800,167800,167700,167700,2400,WCS
2023-06-16,168100,168100,168100,168100,4700,WCS
2023-06-19,163100,163100,163100,163100,2300,WCS
2023-06-26,169300,169300,169300,169300,100,WCS
2023-06-27,171000,175000,171000,172900,1000,WCS
2023-06-30,165300,190100,165300,190100,1700,WCS
2023-07-03,171500,171500,171500,171500,300,WCS
2023-07-05,171000,171500,170000,171500,300,WCS
2023-07-07,165700,173300,165700,173300,200,WCS
2023-07-10,175000,175000,175000,175000,200,WCS
2023-07-11,168300,168300,168300,168300,300,WCS
2023-07-13,168400,169000,168400,169000,1300,WCS
2023-07-14,169100,173100,169100,173100,1400,WCS
2023-07-19,175000,175000,175000,175000,500,WCS
2023-07-20,176700,180000,176700,180000,400,WCS
2023-07-21,180000,180000,180000,180000,200,WCS
2023-07-24,170200,172000,170200,172000,1100,WCS
2023-07-25,172100,172100,172100,172100,100,WCS
2023-07-26,172200,172200,172200,172200,100,WCS
2023-07-28,179000,179000,173000,173000,300,WCS
2023-07-31,173500,173500,173500,173500,100,WCS
2023-08-01,173600,173600,173600,173600,200,WCS
2023-08-03,172400,172400,172400,172400,200,WCS
2023-08-04,172300,172300,172300,172300,200,WCS
2023-08-08,172100,176000,172100,176000,200,WCS
2023-08-09,178000,178000,178000,178000,100,WCS
2023-08-10,180000,180000,180000,180000,1300,WCS
2023-08-15,172100,175000,172100,173100,500,WCS
2023-08-16,173000,173000,173000,173000,1000,WCS
2023-08-17,178800,178800,178800,178800,100,WCS
2023-08-18,179000,179000,179000,179000,4000,WCS
2023-08-23,172300,174100,172300,174000,300,WCS
2023-08-29,173000,173000,173000,173000,500,WCS
2023-08-31,179000,179000,179000,179000,500,WCS
2023-09-05,179000,179000,179000,179000,300,WCS
2023-09-07,179000,179000,179000,179000,100,WCS
2023-09-08,179900,179900,179900,179900,100,WCS
2023-09-18,173000,173000,173000,173000,100,WCS
2023-09-20,174000,174000,173500,173500,700,WCS
2023-09-22,180000,180000,173000,180000,2400,WCS
2023-09-27,162000,162000,162000,162000,100,WCS
2023-09-29,178200,178200,178200,178200,1500,WCS
2023-10-02,175000,181000,173000,181000,1600,WCS
2023-10-04,170000,170000,170000,170000,100,WCS
2023-10-10,187000,187000,186000,187000,1000,WCS
2023-10-11,170100,174000,170100,174000,200,WCS
2023-10-13,180000,180000,180000,180000,100,WCS
