time,open,high,low,close,volume,ticker
2023-01-03,5400,5700,5400,5600,50100,WSS
2023-01-04,5600,5600,5300,5300,16200,WSS
2023-01-05,5300,5400,5100,5400,4600,WSS
2023-01-06,5100,5400,5100,5100,4900,WSS
2023-01-09,5300,5300,5000,5000,2600,WSS
2023-01-10,5200,5200,5200,5200,800,WSS
2023-01-11,5200,5300,5200,5200,9400,WSS
2023-01-12,5000,5200,4900,5200,10800,WSS
2023-01-13,4800,5600,4800,5200,33600,WSS
2023-01-16,5100,5200,5100,5200,1100,WSS
2023-01-17,5200,5300,5100,5300,4900,WSS
2023-01-18,5300,5300,5000,5300,17900,WSS
2023-01-19,5000,5300,5000,5300,28000,WSS
2023-01-27,5800,5800,5300,5300,8600,WSS
2023-01-30,5300,5400,5200,5200,10700,WSS
2023-01-31,5200,5400,5200,5400,6100,WSS
2023-02-01,5400,5400,5200,5200,7700,WSS
2023-02-02,5000,5400,5000,5400,1100,WSS
2023-02-06,5000,5300,5000,5300,4600,WSS
2023-02-07,5000,5300,5000,5300,3100,WSS
2023-02-08,4900,5200,4900,5200,300,WSS
2023-02-10,4700,5100,4700,5000,7100,WSS
2023-02-13,5000,5000,4500,4500,8500,WSS
2023-02-14,4500,4800,4500,4700,2300,WSS
2023-02-15,4700,4800,4700,4700,4600,WSS
2023-02-16,4600,5000,4600,4700,500,WSS
2023-02-17,4800,4800,4700,4800,12600,WSS
2023-02-20,4800,5100,4800,5100,7700,WSS
2023-02-21,5100,5200,5000,5000,3900,WSS
2023-02-22,5000,5000,4900,4900,3600,WSS
2023-02-23,4900,4900,4800,4800,5400,WSS
2023-02-24,4800,5000,4800,4900,5000,WSS
2023-02-27,4500,4900,4500,4900,5500,WSS
2023-02-28,4500,4900,4500,4600,13500,WSS
2023-03-01,4800,4800,4700,4700,200,WSS
2023-03-02,4700,4700,4700,4700,1100,WSS
2023-03-03,4800,4800,4700,4700,800,WSS
2023-03-06,4500,4900,4500,4800,7100,WSS
2023-03-07,4800,4800,4800,4800,1000,WSS
2023-03-08,4800,4800,4800,4800,900,WSS
2023-03-09,4800,4800,4700,4800,1200,WSS
2023-03-10,4600,4800,4600,4600,12400,WSS
2023-03-13,4600,4600,4600,4600,300,WSS
2023-03-14,4700,4700,4500,4600,4600,WSS
2023-03-15,4600,5000,4600,4900,21100,WSS
2023-03-16,4700,4900,4700,4900,2800,WSS
2023-03-20,4800,4800,4600,4700,4300,WSS
2023-03-21,4700,4800,4700,4800,1100,WSS
2023-03-23,4700,4700,4700,4700,1400,WSS
2023-03-24,4700,4700,4700,4700,100,WSS
2023-03-27,5000,5000,5000,5000,4000,WSS
2023-03-28,5100,5100,5000,5000,500,WSS
2023-03-29,4800,4800,4800,4800,5400,WSS
2023-03-30,5000,5000,5000,5000,200,WSS
2023-03-31,4800,4800,4800,4800,200,WSS
2023-04-03,5100,5100,5100,5100,200,WSS
2023-04-04,5100,5300,5100,5300,67200,WSS
2023-04-05,5600,5600,5500,5600,26400,WSS
2023-04-06,5700,5800,5700,5800,200,WSS
2023-04-07,5500,5600,5500,5500,13400,WSS
2023-04-07,5500,5500,5500,5500,1800,WSS
2023-04-10,5800,5800,5500,5500,114200,WSS
2023-04-11,5700,5700,5500,5500,15500,WSS
2023-04-12,5700,5700,5700,5700,5000,WSS
2023-04-13,5500,5500,5500,5500,2100,WSS
2023-04-14,5500,5500,5100,5500,28000,WSS
2023-04-17,5600,5600,5400,5600,26900,WSS
2023-04-18,5300,5700,5300,5600,46200,WSS
2023-04-19,5400,5400,5400,5400,1200,WSS
2023-04-20,5400,5400,5400,5400,100,WSS
2023-04-21,5400,5700,5400,5400,80200,WSS
2023-04-24,5500,5500,5200,5200,1100,WSS
2023-04-25,5400,5400,5100,5200,10000,WSS
2023-04-26,5200,5200,5000,5200,3200,WSS
2023-04-27,5000,5300,5000,5300,14300,WSS
2023-04-28,5200,5300,5100,5100,16700,WSS
2023-05-04,5100,5100,5100,5100,100,WSS
2023-05-05,5200,5400,5200,5400,7100,WSS
2023-05-08,5500,5800,5400,5700,139100,WSS
2023-05-09,5700,5700,5700,5700,100,WSS
2023-05-10,5800,6000,5800,5900,65400,WSS
2023-05-11,6100,6100,5900,6000,49300,WSS
2023-05-12,6000,6000,6000,6000,1000,WSS
2023-05-15,6100,6300,6100,6300,7000,WSS
2023-05-16,6000,6000,5700,6000,20800,WSS
2023-05-17,5900,6100,5900,6100,9600,WSS
2023-05-18,6000,6000,6000,6000,5800,WSS
2023-05-19,6000,6100,6000,6000,24000,WSS
2023-05-22,5800,6000,5800,5900,22100,WSS
2023-05-23,5800,6000,5800,5800,50100,WSS
2023-05-24,5900,6000,5800,6000,21200,WSS
2023-05-25,6000,6000,5800,5900,29100,WSS
2023-05-26,6000,6000,5900,6000,74800,WSS
2023-05-29,6100,6500,6000,6500,165500,WSS
2023-05-30,6600,6600,6300,6500,52400,WSS
2023-05-31,6500,6500,6200,6300,81300,WSS
2023-06-01,6500,6600,6300,6600,235200,WSS
2023-06-02,6600,6700,6600,6700,60400,WSS
2023-06-05,6800,6800,6500,6500,197900,WSS
2023-06-06,6500,6800,6300,6800,86600,WSS
2023-06-07,6800,7000,6700,7000,89700,WSS
2023-06-08,7000,7100,6700,6900,44200,WSS
2023-06-09,6900,7500,6700,7500,213100,WSS
2023-06-12,7500,8000,7500,7900,157000,WSS
2023-06-13,8500,8500,7500,7700,179200,WSS
2023-06-14,7700,8000,7600,7600,78500,WSS
2023-06-15,7500,7700,7100,7300,118600,WSS
2023-06-16,7400,8000,7300,7500,233800,WSS
2023-06-19,7500,7700,7100,7100,92900,WSS
2023-06-20,7300,7500,7100,7400,32000,WSS
2023-06-21,7500,7700,7400,7600,157300,WSS
2023-06-22,7700,7800,7500,7700,59100,WSS
2023-06-23,7600,7900,7600,7800,122100,WSS
2023-06-26,7800,7900,7500,7800,163700,WSS
2023-06-27,7800,7800,7500,7500,25900,WSS
2023-06-28,7700,7700,7200,7400,68300,WSS
2023-06-29,7300,7400,7100,7400,73400,WSS
2023-06-30,7100,7200,7000,7100,21800,WSS
2023-07-03,7300,7300,7000,7000,19000,WSS
2023-07-04,7000,7400,7000,7400,70000,WSS
2023-07-05,7400,7400,7200,7200,59300,WSS
2023-07-06,7200,7300,7100,7100,53600,WSS
2023-07-07,7300,7300,7100,7300,25200,WSS
2023-07-10,7300,7400,7200,7200,57500,WSS
2023-07-11,7300,7300,7200,7200,40900,WSS
