time,open,high,low,close,volume,ticker
2023-01-03,7000,7600,7000,7000,4300,XMC
2023-01-04,7100,7200,7100,7200,6600,XMC
2023-01-05,7100,7100,7000,7000,1500,XMC
2023-01-06,7100,7200,7100,7200,1900,XMC
2023-01-09,7200,7200,6600,6900,5500,XMC
2023-01-10,6800,7100,6800,7100,1200,XMC
2023-01-11,6600,7100,6600,7000,20400,XMC
2023-01-12,7000,7100,6800,7100,15800,XMC
2023-01-13,7000,7000,6900,6900,2400,XMC
2023-01-16,7100,7100,7100,7100,200,XMC
2023-01-17,6900,7500,6900,6900,1300,XMC
2023-01-18,7100,7100,7000,7000,2600,XMC
2023-01-19,7200,7500,7000,7000,2600,XMC
2023-01-27,7000,7500,7000,7100,24600,XMC
2023-01-30,7500,8100,7500,8100,41800,XMC
2023-01-31,8100,9000,7500,8200,18900,XMC
2023-02-01,8800,9000,7600,7800,50600,XMC
2023-02-02,8200,8200,7500,7500,11600,XMC
2023-02-03,7800,7800,7700,7700,6600,XMC
2023-02-06,7700,7700,6700,7300,15900,XMC
2023-02-07,7300,7300,7300,7300,1600,XMC
2023-02-08,7800,7800,7000,7400,10300,XMC
2023-02-09,7200,7300,7200,7200,5500,XMC
2023-02-10,7300,7300,7200,7200,11200,XMC
2023-02-13,7200,7200,7100,7100,3700,XMC
2023-02-14,7000,7100,7000,7000,13400,XMC
2023-02-15,7500,7500,7000,7400,3100,XMC
2023-02-16,7400,7500,7400,7400,6100,XMC
2023-02-17,7300,7500,7300,7400,31600,XMC
2023-02-20,7400,7800,7400,7800,9000,XMC
2023-02-21,7500,7500,7500,7500,14800,XMC
2023-02-22,7100,7400,7100,7300,19000,XMC
2023-02-23,7500,7800,7300,7500,7100,XMC
2023-02-24,7400,7400,7400,7400,1000,XMC
2023-02-27,7400,7400,7400,7400,2000,XMC
2023-02-28,7500,7600,7500,7600,14200,XMC
2023-03-01,7400,7500,7200,7500,29000,XMC
2023-03-02,7400,7500,7400,7500,200,XMC
2023-03-03,7500,7700,7500,7500,5200,XMC
2023-03-06,7700,7800,7300,7400,1500,XMC
2023-03-07,7500,7600,7500,7500,5800,XMC
2023-03-08,7300,7300,7200,7200,6000,XMC
2023-03-09,7300,7300,7300,7300,9000,XMC
2023-03-10,7200,7200,7200,7200,1500,XMC
2023-03-13,7200,7200,7100,7100,28100,XMC
2023-03-14,7200,7200,7000,7100,10500,XMC
2023-03-15,7200,7300,7100,7100,8200,XMC
2023-03-16,7000,7100,7000,7100,11600,XMC
2023-03-17,7100,7100,7100,7100,700,XMC
2023-03-20,7100,7300,7000,7100,11500,XMC
2023-03-21,7300,7300,7100,7100,31700,XMC
2023-03-22,7300,7300,7200,7200,2300,XMC
2023-03-23,7200,7200,7200,7200,3700,XMC
2023-03-24,7300,7300,7200,7200,1000,XMC
2023-03-27,7200,7200,7200,7200,500,XMC
2023-03-28,7200,7200,7200,7200,100,XMC
2023-03-29,7300,7300,7300,7300,1700,XMC
2023-03-30,7300,7300,7300,7300,1000,XMC
2023-03-31,7300,7300,7300,7300,2000,XMC
2023-04-03,7400,7400,7400,7400,200,XMC
2023-04-04,7500,7500,7500,7500,100,XMC
2023-04-05,7400,7700,7400,7700,1700,XMC
2023-04-06,7900,7900,7500,7500,3000,XMC
2023-04-07,7400,7400,7400,7400,2300,XMC
2023-04-07,7400,7400,7400,7400,600,XMC
2023-04-10,7300,7300,7300,7300,2100,XMC
2023-04-11,7600,7600,7600,7600,100,XMC
2023-04-12,7500,7500,7500,7500,200,XMC
2023-04-13,7200,7500,7100,7500,3000,XMC
2023-04-14,7200,7300,7200,7300,2500,XMC
2023-04-17,7300,7300,7300,7300,900,XMC
2023-04-18,7300,7400,7300,7400,900,XMC
2023-04-19,7600,7900,7600,7900,2600,XMC
2023-04-20,7500,7500,7400,7400,3100,XMC
2023-04-21,7800,7800,7300,7300,2100,XMC
2023-04-24,7200,7200,7200,7200,2600,XMC
2023-04-25,7300,7300,7300,7300,100,XMC
2023-04-26,7100,7100,7100,7100,200,XMC
2023-04-27,7500,7500,7500,7500,500,XMC
2023-04-28,7400,7700,7100,7600,3400,XMC
2023-05-04,7200,7300,7000,7300,3200,XMC
2023-05-05,7600,7600,7400,7400,700,XMC
2023-05-08,7500,7500,7500,7500,100,XMC
2023-05-09,7300,7600,7200,7600,1400,XMC
2023-05-10,7600,7600,7500,7500,400,XMC
2023-05-11,7600,7600,7400,7400,3200,XMC
2023-05-12,7300,7300,7000,7000,78900,XMC
2023-05-15,7400,7400,7000,7200,45600,XMC
2023-05-16,7200,7500,7200,7500,3500,XMC
2023-05-17,7400,7400,7100,7100,30800,XMC
2023-05-18,7200,7200,7200,7200,500,XMC
2023-05-19,7100,7100,7100,7100,1100,XMC
2023-05-22,7000,7200,7000,7000,9200,XMC
2023-05-23,7000,7100,7000,7000,16800,XMC
2023-05-24,7300,7300,7200,7200,2600,XMC
2023-05-25,7000,7100,7000,7000,20000,XMC
2023-05-26,6800,7100,6800,6900,61900,XMC
2023-05-29,7100,7200,6900,7000,39300,XMC
2023-05-30,7100,7100,6900,7100,2600,XMC
2023-05-31,7100,7400,7000,7300,108400,XMC
2023-06-01,7400,8100,7400,8100,111200,XMC
2023-06-02,8200,8600,7700,7800,75800,XMC
2023-06-05,7800,8000,7600,7700,58800,XMC
2023-06-06,7700,7700,7400,7700,29000,XMC
2023-06-07,7700,8000,7600,8000,48500,XMC
2023-06-08,7900,7900,7500,7500,37300,XMC
2023-06-09,7700,7700,7400,7600,25900,XMC
2023-06-12,7500,7800,7400,7700,23500,XMC
2023-06-13,7900,8200,7900,8200,83600,XMC
2023-06-14,8300,8500,8000,8100,32300,XMC
2023-06-15,8100,8100,7700,7800,12800,XMC
2023-06-16,7800,7900,7600,7800,31500,XMC
2023-06-19,7700,7700,7500,7700,40000,XMC
2023-06-20,7900,7900,7600,7900,15000,XMC
2023-06-21,8000,8100,7700,8000,30900,XMC
2023-06-22,8000,8000,7800,8000,25500,XMC
2023-06-23,7900,8200,7900,8100,50800,XMC
2023-06-26,8000,8000,7700,7900,28300,XMC
2023-06-27,7900,7900,7800,7800,4800,XMC
2023-06-28,7700,7800,7700,7800,3000,XMC
2023-06-29,8000,8800,8000,8800,161800,XMC
2023-06-30,9600,9600,8900,9600,294000,XMC
2023-07-03,9900,10900,9900,10700,253400,XMC
2023-07-04,11200,11400,9400,10000,197100,XMC
2023-07-05,10100,10200,9400,9700,135900,XMC
2023-07-06,9800,10400,8500,9100,179100,XMC
2023-07-07,8800,9400,8700,9200,83400,XMC
2023-07-10,9400,9400,8500,8800,234200,XMC
2023-07-11,9100,9300,8700,9300,77900,XMC
2023-07-12,9500,9500,8700,9000,143700,XMC
2023-07-13,9200,9200,8500,8600,118200,XMC
2023-07-14,8600,8800,8400,8600,113800,XMC
2023-07-17,8400,9000,8400,8900,80700,XMC
2023-07-18,9000,9000,8800,8900,39600,XMC
2023-07-19,9000,9100,8600,8900,63700,XMC
2023-07-20,9000,9000,8800,8900,47200,XMC
2023-07-21,9100,9100,8600,8900,86700,XMC
2023-07-24,9000,9700,8800,9500,150700,XMC
