time,open,high,low,close,volume,ticker
2023-01-03,5260,5490,5260,5400,3400,YBM
2023-01-04,5400,5430,5400,5430,2200,YBM
2023-01-05,5440,5440,5350,5430,1600,YBM
2023-01-06,5340,5430,5340,5430,1500,YBM
2023-01-09,5430,5490,5350,5430,2000,YBM
2023-01-10,5430,5430,5350,5360,7700,YBM
2023-01-11,5360,5380,4990,5370,12500,YBM
2023-01-12,5360,5360,5340,5340,2400,YBM
2023-01-13,5350,5350,5160,5160,21300,YBM
2023-01-16,5340,5370,5160,5160,63100,YBM
2023-01-17,5160,5160,5070,5160,5900,YBM
2023-01-18,5320,5350,5200,5290,1500,YBM
2023-01-19,5260,5660,5260,5260,6000,YBM
2023-01-27,5400,5540,5390,5540,2300,YBM
2023-01-30,5530,5530,5440,5440,5400,YBM
2023-01-31,5270,5510,5260,5460,7700,YBM
2023-02-01,5510,5540,5460,5460,26700,YBM
2023-02-02,5440,5440,5190,5430,2000,YBM
2023-02-03,5280,5430,5060,5350,5400,YBM
2023-02-06,5350,5420,5230,5290,8200,YBM
2023-02-07,5420,5420,5160,5380,12000,YBM
2023-02-08,5370,5370,5160,5340,93300,YBM
2023-02-09,5270,5340,5270,5340,4100,YBM
2023-02-10,5330,5330,5330,5330,1300,YBM
2023-02-13,5170,5470,5170,5430,2300,YBM
2023-02-14,5430,5620,5430,5620,2500,YBM
2023-02-15,5520,5540,5520,5540,400,YBM
2023-02-16,5530,5530,5360,5370,3600,YBM
2023-02-17,5440,5440,5370,5370,900,YBM
2023-02-20,5510,5510,4990,5490,18400,YBM
2023-02-21,5480,5860,5390,5860,4700,YBM
2023-02-22,5680,6250,5470,5470,19000,YBM
2023-02-23,5650,5650,5460,5590,5200,YBM
2023-02-24,5590,5590,5480,5480,200,YBM
2023-02-27,5480,5480,5350,5470,3900,YBM
2023-02-28,5470,5850,5130,5130,8700,YBM
2023-03-01,5130,5440,5130,5160,7200,YBM
2023-03-02,5420,5480,5160,5430,6000,YBM
2023-03-03,5260,5430,5260,5430,1700,YBM
2023-03-06,5430,5540,5260,5270,19800,YBM
2023-03-07,5260,5330,5260,5320,10400,YBM
2023-03-08,5330,5440,5040,5430,6100,YBM
2023-03-09,5430,5430,5350,5350,1200,YBM
2023-03-10,5340,5350,5160,5340,33600,YBM
2023-03-13,5100,5320,5070,5320,5200,YBM
2023-03-14,5320,5320,5260,5270,7000,YBM
2023-03-15,5270,5430,5270,5430,5900,YBM
2023-03-16,5160,5300,5160,5270,4300,YBM
2023-03-17,5280,5280,5270,5270,1100,YBM
2023-03-20,5210,5280,5210,5280,10600,YBM
2023-03-21,5090,5300,5090,5270,4900,YBM
2023-03-22,5400,5490,5400,5490,200,YBM
2023-03-23,5440,5440,5440,5440,200,YBM
2023-03-24,5350,5350,5350,5350,100,YBM
2023-03-27,5630,5630,5630,5630,1000,YBM
2023-03-28,5630,5800,5630,5800,200,YBM
2023-03-29,5750,5750,5540,5740,1700,YBM
2023-03-30,5730,5730,5630,5630,300,YBM
2023-03-31,5580,5580,5580,5580,100,YBM
2023-04-03,5690,5690,5690,5690,100,YBM
2023-04-04,5740,5740,5740,5740,100,YBM
2023-04-05,5630,5630,5630,5630,200,YBM
2023-04-06,5630,5630,5630,5630,500,YBM
2023-04-07,5770,5770,5730,5730,31400,YBM
2023-04-07,5770,5770,5640,5770,15500,YBM
2023-04-10,5770,6080,5770,5770,5400,YBM
2023-04-11,5910,6120,5700,5730,10800,YBM
2023-04-12,5820,5820,5820,5820,1800,YBM
2023-04-13,6090,6090,5800,5960,1900,YBM
2023-04-14,5800,5820,5800,5820,200,YBM
2023-04-17,5820,5820,5730,5730,1100,YBM
2023-04-18,5730,5730,5710,5710,1000,YBM
2023-04-19,5730,6000,5730,5980,1500,YBM
2023-04-20,5950,5950,5780,5780,1300,YBM
2023-04-21,5790,5790,5790,5790,800,YBM
2023-04-24,5830,5830,5820,5820,300,YBM
2023-04-25,5910,5910,5910,5910,100,YBM
2023-04-26,5910,5910,5820,5820,300,YBM
2023-04-27,6230,6230,5770,5770,10400,YBM
2023-04-28,5990,5990,5670,5860,600,YBM
2023-05-04,5990,6070,5870,6070,13900,YBM
2023-05-05,5890,5890,5890,5890,500,YBM
2023-05-08,6000,6000,5990,5990,200,YBM
2023-05-09,6480,6480,6030,6040,7700,YBM
